model,reference,mean loss difference,standard error,lower 95%,upper 95%,favors model
Monotone linear,Choquet 1-additive,-0.000144227574100743,1.3242325193363243e-05,-0.00017018205455130236,-0.00011827309365018362,True
Lasso,Choquet 1-additive,-0.00013429278457041576,1.4982373986217213e-05,-0.0001636576979863113,-0.00010492787115452022,True
Elastic net,Choquet 1-additive,-0.00013340828605397422,1.4964740271174264e-05,-0.00016273863802347195,-0.00010407793408447649,True
Ridge,Choquet 1-additive,-0.0001331098842169117,1.495922527897689e-05,-0.00016242942700032755,-0.00010379034143349585,True
OLS,Choquet 1-additive,-0.00013310622045405884,1.4959667593416465e-05,-0.0001624266301578461,-0.00010378581075027159,True
OLS oriented,Choquet 1-additive,-0.00013310622045405884,1.4959667593416465e-05,-0.0001624266301578461,-0.00010378581075027159,True
Choquet 2-additive scaled-q L1,Choquet 1-additive,-0.00013237864890182176,1.764424749352602e-05,-0.00016696073852344388,-9.779655928019964e-05,True
Choquet 1-additive scaled-q,Choquet 1-additive,-0.00013237864856697142,1.7644247548963088e-05,-0.0001669607382972482,-9.779655883669465e-05,True
Choquet 2-additive scaled-q,Choquet 1-additive,-0.0001323786485669714,1.7644247548963085e-05,-0.00016696073829724817,-9.779655883669462e-05,True
Choquet 2-additive,Choquet 1-additive,-1.0454199003844277e-05,3.424533850366846e-06,-1.7166162014401574e-05,-3.7422359932869806e-06,True
Choquet 2-additive L1,Choquet 1-additive,-5.852545688796507e-06,3.193255624464019e-06,-1.2111211706175944e-05,4.061203285829309e-07,True
