model,RMSE mean,RMSE std,MAE mean,MAE std,OOS R2 mean,OOS R2 std,Correlation mean,Correlation std,parameter count mean,parameter count std,refit runtime seconds mean,refit runtime seconds std
Choquet 1-additive,0.022266894968248765,0.011224022630638698,0.016465262184284304,0.00906428872207017,-0.2616529209400812,0.7084907934618964,0.6001904009461282,0.17991663868120958,8.0,0.0,0.037519466667112686,0.016636393795720555
Choquet 1-additive scaled-q,0.017979479990145472,0.0035487552838648823,0.012663786997061959,0.002521883587524757,0.170665605818156,0.2124265482858502,0.43900555272747455,0.22366147094183156,9.0,0.0,0.03011664444541869,0.03414491419501668
Choquet 2-additive,0.02206280387997249,0.010724578587902746,0.01633042939355935,0.008700232160705673,-0.23472297333135325,0.6639427731660178,0.5981847623158543,0.1762387796040873,29.0,0.0,0.12389635555640173,0.041575136883347255
Choquet 2-additive L1,0.022316933296996425,0.010863343459490082,0.01650962696901639,0.008762906428576975,-0.26431828583835953,0.6725577200995325,0.5957890981550577,0.17954661856114654,29.0,0.0,0.12799593333491227,0.07160733995659739
Choquet 2-additive scaled-q,0.017979479990145476,0.003548755283864881,0.012663786997061959,0.002521883587524757,0.170665605818156,0.21242654828585017,0.4390055527274746,0.22366147094183153,30.0,0.0,0.021819144444533676,0.006789950624381684
Choquet 2-additive scaled-q L1,0.01797947997261501,0.0035487552684942123,0.012663786978061236,0.002521883570802316,0.17066560705638814,0.21242654856157192,0.4390055534837765,0.22366147108626053,30.0,0.0,0.018600055555806547,0.00733447026876671
Elastic net,0.014017296355263319,0.004221084958632367,0.009264951980866446,0.003260625690119103,0.5098199955500936,0.1561648885655205,0.7371560290987154,0.10980481219575526,8.0,0.0,0.01064645555581794,0.004428002636039403
Lasso,0.014002890921693946,0.004198916893816209,0.009260358541162448,0.0032492529371298466,0.5105882844529137,0.15585038588839079,0.7372941271068795,0.11125583165972973,8.0,0.0,0.00845442222392497,0.004296257894919535
Monotone linear,0.013851602241299749,0.0037686050221224787,0.009154085843030436,0.0028123593452626023,0.5167113830398302,0.15244171659448327,0.7395562856270147,0.1129351855398435,8.0,0.0,0.014783444444118585,0.0061006445577220245
OLS,0.0140123546882193,0.004221944241002735,0.009298339645461987,0.0032585678373185985,0.5097567865672329,0.15774902797055695,0.7345316153303663,0.11494249756264102,8.0,0.0,0.011599388888700761,0.007125933035984282
OLS oriented,0.0140123546882193,0.004221944241002735,0.009298339645461987,0.0032585678373185985,0.5097567865672329,0.15774902797055695,0.7345316153303663,0.11494249756264102,8.0,0.0,0.014471911112195812,0.008028920536996428
Ridge,0.014009883486240354,0.004222560861943787,0.009296007040813403,0.0032594475018027256,0.5098749818831981,0.15802141093505823,0.7345113687279088,0.1151490864316548,8.0,0.0,0.008766299998872759,0.0038753768654838285
