asset,model,first,second,interaction,interpretation
AAPL,Choquet 1-additive,market_excess_return,low_volatility_spread,-3.2670625464229866e-18,redundant
AAPL,Choquet 1-additive,market_excess_return,momentum_spread,1.9949319973733284e-18,complementary
AAPL,Choquet 1-additive,market_excess_return,quality_spread,-1.7058114180438608e-18,redundant
AAPL,Choquet 1-additive,market_excess_return,sector_excess_return,-1.937107881507437e-18,redundant
AAPL,Choquet 1-additive,market_excess_return,size_spread,4.076600168545496e-18,complementary
AAPL,Choquet 1-additive,market_excess_return,value_growth_spread,8.384496800554567e-19,complementary
AAPL,Choquet 1-additive,momentum_spread,low_volatility_spread,2.1019066117252313e-17,complementary
AAPL,Choquet 1-additive,momentum_spread,quality_spread,1.448494102440634e-17,complementary
AAPL,Choquet 1-additive,quality_spread,low_volatility_spread,1.1102230246251563e-17,complementary
AAPL,Choquet 1-additive,sector_excess_return,low_volatility_spread,2.633888477691452e-17,complementary
AAPL,Choquet 1-additive,sector_excess_return,momentum_spread,2.2349020782167864e-17,complementary
AAPL,Choquet 1-additive,sector_excess_return,quality_spread,9.396418828207704e-18,complementary
AAPL,Choquet 1-additive,sector_excess_return,size_spread,-3.324886662288879e-18,redundant
AAPL,Choquet 1-additive,sector_excess_return,value_growth_spread,2.6888213877640507e-18,complementary
AAPL,Choquet 1-additive,size_spread,low_volatility_spread,-8.124288279158047e-18,redundant
AAPL,Choquet 1-additive,size_spread,momentum_spread,-1.4427116908540442e-17,redundant
AAPL,Choquet 1-additive,size_spread,quality_spread,-7.71951946809679e-18,redundant
AAPL,Choquet 1-additive,size_spread,value_growth_spread,-2.1366010812447674e-17,redundant
AAPL,Choquet 1-additive,value_growth_spread,low_volatility_spread,1.358866722848499e-18,complementary
AAPL,Choquet 1-additive,value_growth_spread,momentum_spread,8.933825901280557e-18,complementary
AAPL,Choquet 1-additive,value_growth_spread,quality_spread,-7.488223004633217e-18,redundant
AAPL,Choquet 1-additive scaled-q,market_excess_return,low_volatility_spread,9.25185853854297e-18,complementary
