asset,sample,observations,feature-extreme observations,loss-extreme observations,stress observations,stress rate,loss threshold
AAPL,estimation,1509,74,16,84,0.055666003976143144,0.04432238606724256
AAPL,test,1652,506,28,512,0.3099273607748184,0.04432238606724256
AMZN,estimation,1509,74,16,83,0.05500331345261763,0.055263976337075686
AMZN,test,1652,514,21,520,0.31476997578692495,0.055263976337075686
JPM,estimation,1509,77,16,84,0.055666003976143144,0.03695887130768689
JPM,test,1652,514,44,527,0.31900726392251816,0.03695887130768689
KO,estimation,1509,79,16,86,0.05699138502319417,0.025462494707144463
KO,test,1652,512,39,521,0.3153753026634383,0.025462494707144463
MSFT,estimation,1509,74,16,84,0.055666003976143144,0.03844640221638258
MSFT,test,1652,506,42,511,0.3093220338983051,0.03844640221638258
NVDA,estimation,1509,74,16,83,0.05500331345261763,0.06863832611058618
NVDA,test,1652,506,37,509,0.30811138014527845,0.06863832611058618
UNH,estimation,1509,77,16,89,0.058979456593770706,0.03430797540084
UNH,test,1652,509,48,529,0.3202179176755448,0.03430797540084
WMT,estimation,1509,79,16,91,0.060304837640821736,0.0312712013478576
WMT,test,1652,512,26,523,0.31658595641646486,0.0312712013478576
XOM,estimation,1509,85,16,93,0.061630218687872766,0.03308270449212371
XOM,test,1652,522,76,545,0.32990314769975787,0.03308270449212371
