asset,fold,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
AAPL,0,Choquet 1-additive,rolling_5y,0.00020016314684332935,0.01414790255986128,0.009449104928790492,0.011357934290615204,0.7682180193187991,0.8802048400264081,0.009738634963915459,0.11735780001617968,0.020331200037617236,8
AAPL,0,Choquet 1-additive scaled-q,rolling_5y,0.0003742129098982043,0.01934458347698922,0.012776214176691654,0.01567979494207098,0.5666744312299858,0.7569443302371501,0.012344732621418159,0.02110830001765862,0.006603799993172288,9
AAPL,0,Choquet 2-additive,rolling_5y,0.0002075650495642531,0.014407118017294544,0.009438255287723112,0.01168673833301455,0.759646872729022,0.8766925964956824,0.009835561689170559,0.06764329998986796,0.041608600004110485,29
AAPL,0,Choquet 2-additive L1,rolling_5y,0.00020177210183466656,0.01420465071146301,0.009376752691171065,0.011491598863577238,0.7663549052510985,0.8787117827727501,0.009782525498869982,0.24366719997487962,0.08137470000656322,29
AAPL,0,Choquet 2-additive scaled-q,rolling_5y,0.00037421290989820427,0.019344583476989217,0.012776214176691652,0.015679794942070977,0.5666744312299858,0.7569443302371499,0.012344732621418159,0.0088246000232175,0.006928899965714663,30
AAPL,0,Choquet 2-additive scaled-q L1,rolling_5y,0.0003742129079973889,0.01934458342785879,0.012776214151427163,0.01567979483167493,0.5666744334310642,0.7569443319421401,0.012344732605490533,0.03802239999640733,0.007455900020431727,30
AAPL,0,Elastic net,rolling_5y,0.00013965160114047761,0.011817427856368645,0.00879397332563615,0.009598998022797078,0.8382882901867224,0.9154513606643798,0.00892712091763522,0.03458640002645552,0.002609600021969527,8
AAPL,0,Lasso,rolling_5y,0.00013926508166244082,0.01180106273445069,0.008777493680019578,0.009580764741926186,0.8387358663345003,0.9156960355228491,0.008934439009106857,0.015096499992068857,0.0023660999722778797,8
AAPL,0,Monotone linear,rolling_5y,0.00019789720005478127,0.0140675939682229,0.009437762964322631,0.01130363335393122,0.7708419070975967,0.8809095406587798,0.009839378748688678,0.005154199956450611,0.0034559000050649047,8
AAPL,0,OLS,rolling_5y,0.00013978473197039405,0.01182305933210157,0.008799611453832058,0.009605294569839353,0.8381341293037906,0.9153671930588451,0.008924550869924169,0.01722799998242408,0.002741199976298958,8
AAPL,0,OLS oriented,rolling_5y,0.00013978473197039405,0.01182305933210157,0.008799611453832058,0.009605294569839353,0.8381341293037906,0.9153671930588451,0.008924550869924169,0.005186400027014315,0.002876300015486777,8
AAPL,0,Ridge,rolling_5y,0.0001397828962940164,0.011822981700654722,0.008799497317221338,0.009605122488938727,0.8381362549533591,0.9153682949344515,0.008924803839039498,0.016346899967174977,0.0021086999913677573,8
AAPL,1,Choquet 1-additive,rolling_5y,7.830148408624764e-05,0.008848812580580947,0.006514427217836621,0.0072818089029718855,0.6853342833420909,0.8315626656658814,0.014306257452027198,0.023528399993665516,0.012720300001092255,8
AAPL,1,Choquet 1-additive scaled-q,rolling_5y,0.00016176401463903345,0.012718648302356405,0.009863593761419806,0.011735302398781998,0.34992816305007957,0.6256125651357153,0.019495521560912523,0.008162999991327524,0.005949699960183352,9
