asset,fold,evaluation_structure,window start,train start,train end,train observations,validation start,validation end,validation observations,OOS start,OOS end,OOS observations
AAPL,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
AAPL,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
AAPL,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
AAPL,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
AAPL,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
AAPL,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
AAPL,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
AMZN,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
AMZN,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
AMZN,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
AMZN,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
AMZN,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
AMZN,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
AMZN,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
JPM,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
JPM,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
JPM,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
JPM,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
JPM,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
JPM,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
JPM,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
KO,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
KO,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
KO,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
KO,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
KO,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
KO,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
KO,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
MSFT,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
MSFT,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
MSFT,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
MSFT,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
MSFT,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
MSFT,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
MSFT,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
NVDA,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
NVDA,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
NVDA,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
NVDA,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
NVDA,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
NVDA,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
NVDA,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
UNH,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
UNH,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
UNH,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
UNH,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
UNH,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
UNH,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
UNH,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
WMT,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
WMT,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
WMT,2,rolling_5y,2017-01-01,2017-01-03,2020-12-31,1007,2021-01-04,2021-12-31,252,2022-01-03,2022-12-30,251
WMT,3,rolling_5y,2018-01-01,2018-01-02,2021-12-31,1008,2022-01-03,2022-12-30,251,2023-01-03,2023-12-29,250
WMT,4,rolling_5y,2019-01-01,2019-01-02,2022-12-30,1008,2023-01-03,2023-12-29,250,2024-01-02,2024-12-31,252
WMT,5,rolling_5y,2020-01-01,2020-01-02,2023-12-29,1006,2024-01-02,2024-12-31,252,2025-01-02,2025-12-31,250
WMT,6,rolling_5y,2021-01-01,2021-01-04,2024-12-31,1005,2025-01-02,2025-12-31,250,2026-01-02,2026-07-30,144
XOM,0,rolling_5y,2015-01-01,2015-01-02,2018-12-31,1006,2019-01-02,2019-12-31,252,2020-01-02,2020-12-31,253
XOM,1,rolling_5y,2016-01-01,2016-01-04,2019-12-31,1006,2020-01-02,2020-12-31,253,2021-01-04,2021-12-31,252
