model,trace,Frobenius norm,mean absolute off-diagonal
Gradient boosting,0.0007209893330813535,0.0003342985052018128,2.8308770259846206e-06
Random forest,0.0007872811780484384,0.0003533789948520298,3.153727936694056e-06
Explicit interactions,0.0009153489281276087,0.0004229176217323156,3.852974036192857e-06
OLS,0.0009459466420863326,0.0004365722293472495,4.051878633438861e-06
OLS oriented,0.0009459466420863326,0.0004365722293472495,4.051878633438861e-06
Ridge,0.0009460036964012001,0.00043658285554681945,4.056671912579591e-06
Lasso,0.0009478488615261304,0.00043696141752445813,4.067653715255717e-06
Elastic net,0.0009495666424762265,0.0004373489159410719,4.085628305222766e-06
Monotone linear,0.000971954064626679,0.0004453573980668402,3.7909998073389504e-06
Choquet 2-additive,0.0019942626477874844,0.0012400771525235986,3.468429460230341e-05
Choquet 1-additive,0.0020422622805156554,0.001270284741553673,3.5130147281129564e-05
Choquet 2-additive L1,0.0020746560761557694,0.0013024174275839194,3.706752131840257e-05
