model,trace,Frobenius norm,mean absolute off-diagonal
Elastic net,0.0013845372344034542,0.0005543471760182816,7.190993311072934e-06
Lasso,0.0013904638455769158,0.0005565428244898779,7.376331731063604e-06
Ridge,0.001404192624215375,0.0005657528096590007,7.734431111323218e-06
OLS,0.0014067353939166598,0.000566406506670231,7.731179119107085e-06
OLS oriented,0.0014067353939166598,0.000566406506670231,7.731179119107085e-06
Monotone linear,0.0014919909242480417,0.0005845320001911173,1.0933891046302083e-05
Choquet 1-additive,0.0017241715634473687,0.0006970395299455427,1.3197628178825107e-05
Choquet 2-additive L1,0.001730334269501212,0.0007008848010063024,1.3558406342172002e-05
Choquet 2-additive,0.0017354675071808141,0.0007061090136834368,1.3917040801266609e-05
Choquet 2-additive scaled-q,0.0025090681701287615,0.0010697921337835415,6.450633934841425e-05
Choquet 2-additive scaled-q L1,0.002552458404104234,0.0010810317061202574,6.413689226642605e-05
Choquet 1-additive scaled-q,0.002680781683875682,0.0011541121947663217,7.134122432175317e-05
