asset,fold,model,evaluation_structure,OOS start,OOS end,best parameters,fitted q
AAPL,0,Choquet 1-additive,rolling_5y,2020-01-01,2021-01-01,{},
AAPL,0,Choquet 1-additive scaled-q,rolling_5y,2020-01-01,2021-01-01,{},0.21329548826745376
AAPL,0,Choquet 2-additive,rolling_5y,2020-01-01,2021-01-01,{},
AAPL,0,Choquet 2-additive L1,rolling_5y,2020-01-01,2021-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AAPL,0,Choquet 2-additive scaled-q,rolling_5y,2020-01-01,2021-01-01,{},0.2132954882674538
AAPL,0,Choquet 2-additive scaled-q L1,rolling_5y,2020-01-01,2021-01-01,"{'regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.21329548826744738
AAPL,0,Elastic net,rolling_5y,2020-01-01,2021-01-01,"{'regressor__alpha': 1e-05, 'regressor__l1_ratio': 0.25}",
AAPL,0,Lasso,rolling_5y,2020-01-01,2021-01-01,{'regressor__alpha': 1e-05},
AAPL,0,Monotone linear,rolling_5y,2020-01-01,2021-01-01,{},
AAPL,0,OLS,rolling_5y,2020-01-01,2021-01-01,{},
AAPL,0,OLS oriented,rolling_5y,2020-01-01,2021-01-01,{},
AAPL,0,Ridge,rolling_5y,2020-01-01,2021-01-01,{'regressor__alpha': 0.01},
AAPL,1,Choquet 1-additive,rolling_5y,2021-01-01,2022-01-01,{},
AAPL,1,Choquet 1-additive scaled-q,rolling_5y,2021-01-01,2022-01-01,{},0.36778318021150963
AAPL,1,Choquet 2-additive,rolling_5y,2021-01-01,2022-01-01,{},
AAPL,1,Choquet 2-additive L1,rolling_5y,2021-01-01,2022-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AAPL,1,Choquet 2-additive scaled-q,rolling_5y,2021-01-01,2022-01-01,{},0.36778318021150996
AAPL,1,Choquet 2-additive scaled-q L1,rolling_5y,2021-01-01,2022-01-01,"{'regressor__penalty': L1Penalty(weight=0.01, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3677831802115066
AAPL,1,Elastic net,rolling_5y,2021-01-01,2022-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.25}",
