first,second,interaction,interpretation
momentum_spread,quality_spread,0.12179977611320819,complementary
sector_excess_return,momentum_spread,0.07104950753629262,complementary
market_excess_return,quality_spread,-0.053573374256193525,redundant
sector_excess_return,quality_spread,0.04291952786808138,complementary
sector_excess_return,size_spread,0.04036943972575769,complementary
market_excess_return,value_growth_spread,0.03180715093159211,complementary
sector_excess_return,value_growth_spread,0.027964295865526352,complementary
quality_spread,low_volatility_spread,-0.02602781576017272,redundant
size_spread,low_volatility_spread,0.016794204219790707,complementary
market_excess_return,sector_excess_return,-0.01637578545643081,redundant
