first,second,interaction,interpretation
sector_excess_return,value_growth_spread,0.06894391741445634,complementary
market_excess_return,low_volatility_spread,-0.048252045255619457,redundant
momentum_spread,low_volatility_spread,0.033039981055210915,complementary
sector_excess_return,low_volatility_spread,0.027051729930613465,complementary
value_growth_spread,quality_spread,-0.027016073986132053,redundant
size_spread,value_growth_spread,-0.02630832388251816,redundant
size_spread,low_volatility_spread,0.01614964152487435,complementary
market_excess_return,value_growth_spread,-0.015765036722399206,redundant
size_spread,quality_spread,0.014839564257455194,complementary
value_growth_spread,low_volatility_spread,-0.010870712590207153,redundant
