model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
Historical mean,rolling_5y,0.0010139716191230877,0.03184292102058302,0.02398086475537698,0.032582233912089587,0.0,-0.09878238098498618,0.029732160740494385,0.026543999963905662,0.015595900011248887,,7
Choquet 1-additive scaled-q,rolling_5y,0.0010139716191230877,0.03184292102058302,0.02398086475537698,0.032582233912089587,0.0,-0.09878238098498618,0.02974311639107066,0.33488890004809946,0.308664400014095,12.0,7
Choquet 2-additive scaled-q,rolling_5y,0.0010139716191230877,0.03184292102058302,0.02398086475537698,0.032582233912089587,0.0,-0.09878238098498618,0.02974311639107066,0.4198924000374973,0.3971505000372417,57.0,7
Choquet 2-additive scaled-q L1,rolling_5y,0.001013971619123138,0.03184292102058381,0.023980864755377206,0.03258223391209236,-4.973799150320701e-14,-0.09878238098499377,0.029743116391003497,1.741889500117395,0.41182159999152645,57.0,7
Monotone linear,rolling_5y,0.0010164744585041067,0.031882196575896506,0.024010747758544206,0.03259776948731861,-0.0024683525000270823,-0.1259616197861297,0.02990341588885665,0.0406427999259904,0.02514559996780008,11.0,7
Gradient boosting,rolling_5y,0.0011513872318466539,0.0339320973688137,0.025924535122100217,0.03304739165298751,-0.13552214887671843,0.05688224792171233,0.03240512465126344,5.0191690000356175,0.514096700004302,,7
OLS oriented,rolling_5y,0.0012340001580979588,0.03512833839079154,0.027632033984073906,0.034245682924039775,-0.21699674312892347,-0.02232939734421825,0.03412659317409822,0.04092300002230331,0.024408499943092465,11.0,7
OLS,rolling_5y,0.0012340001580979588,0.03512833839079154,0.027632033984073906,0.034245682924039775,-0.21699674312892347,-0.02232939734421825,0.03412659317409822,0.028691800078377128,0.018499999830964953,11.0,7
Choquet 2-additive,rolling_5y,0.0012482506071595692,0.03533059024640785,0.02610142843270833,0.03460692442342016,-0.23105083378871383,-0.11753017203236182,0.03370188248260693,5.023305600101594,4.166775799996685,56.0,7
Choquet 2-additive L1,rolling_5y,0.0012520648235343924,0.03538452802475105,0.026088826166563096,0.034238014578160274,-0.23481249368420665,-0.11002263461368691,0.033226444734422274,21.38566859991988,5.195983000041451,56.0,7
Choquet 1-additive,rolling_5y,0.0012618076246774486,0.03552193160115943,0.026207202175901407,0.03393731075537392,-0.244421047769263,-0.08763217817788439,0.033479136480871814,1.4439361998811364,1.1100534000433981,11.0,7
Explicit interactions,rolling_5y,0.0022382784009304965,0.047310447059085124,0.03247021825541767,0.0352133294214515,-1.2074369328662526,0.06986866823332029,0.05085635214581929,0.14343869994627312,0.02417390001937747,56.0,7
