feature,sample,raw minimum,lower clipping bound,raw maximum,upper clipping bound,below-bound observations,above-bound observations,clipped observations,clipped rate
market_loss_1d,estimation,-0.09986271079661346,-0.029130645377723176,0.06032663239789038,0.03727466436756671,7,7,14,0.0111731843575419
vix,estimation,11.86,12.0752,52.33,37.01240000000001,7,7,14,0.0111731843575419
realized_volatility_20d,estimation,0.046347836165331516,0.061221413761259044,0.4706196309417668,0.46547362441433054,7,7,14,0.0111731843575419
drawdown_severity,estimation,-0.0,0.0,0.22001819064543537,0.20883397103957013,0,7,7,0.00558659217877095
liquidity_stress_20d,estimation,0.33519902555172515,0.3467877922153922,0.7362535212915245,0.7198963743873205,7,7,14,0.0111731843575419
baa_credit_spread_pct,estimation,1.36,1.39,2.42,2.37,4,6,10,0.007980845969672785
term_spread_10y_2y_pct,estimation,-1.0800000000000005,-0.9900000000000002,1.5899999999999999,1.5374,6,7,13,0.010375099760574621
average_equity_correlation_60d,estimation,0.024740587533707625,0.0360246076077574,0.5833349013510621,0.5607399298275824,7,7,14,0.0111731843575419
negative_momentum_21d,estimation,-0.1267991303504379,-0.10637504855577176,0.16453622993833317,0.12439858188563746,7,7,14,0.0111731843575419
lagged_portfolio_loss_1d,estimation,-0.08981365194695544,-0.0303903840789516,0.056087395643640486,0.03845166103950796,7,7,14,0.0111731843575419
market_loss_1d,test,-0.02865339408996803,-0.029130645377723176,0.02614828294302729,0.03727466436756671,0,0,0,0.0
vix,test,14.49,12.0752,31.05,37.01240000000001,0,0,0,0.0
realized_volatility_20d,test,0.05767186033940045,0.061221413761259044,0.1555492685570565,0.46547362441433054,1,0,1,0.006993006993006993
drawdown_severity,test,-0.0,0.0,0.07115135248215254,0.20883397103957013,0,0,0,0.0
liquidity_stress_20d,test,0.3716178974729604,0.3467877922153922,0.49310124430974794,0.7198963743873205,0,0,0,0.0
baa_credit_spread_pct,test,1.5,1.39,1.85,2.37,0,0,0,0.0
term_spread_10y_2y_pct,test,0.2699999999999996,-0.9900000000000002,0.7399999999999998,1.5374,0,0,0,0.0
average_equity_correlation_60d,test,-0.009412440732904249,0.0360246076077574,0.0865575533342837,0.5607399298275824,77,0,77,0.5384615384615384
negative_momentum_21d,test,-0.12998401055479086,-0.10637504855577176,0.04987928613941218,0.12439858188563746,4,0,4,0.027972027972027972
lagged_portfolio_loss_1d,test,-0.023482238970575626,-0.0303903840789516,0.018325386062564064,0.03845166103950796,0,0,0,0.0
