feature,sample,clipping enabled,raw minimum,lower clipping bound,raw maximum,upper clipping bound,below-bound observations,above-bound observations,clipped observations,clipped rate
market_loss_1d,estimation,False,-0.09986271079661346,-inf,0.06032663239789038,inf,0,0,0,0.0
vix,estimation,False,11.86,-inf,52.33,inf,0,0,0,0.0
realized_volatility_20d,estimation,False,0.046347836165331516,-inf,0.4706196309417668,inf,0,0,0,0.0
drawdown_severity,estimation,False,-0.0,-inf,0.22001819064543537,inf,0,0,0,0.0
liquidity_stress_20d,estimation,False,0.33519902555172515,-inf,0.7362535212915245,inf,0,0,0,0.0
baa_credit_spread_pct,estimation,False,1.36,-inf,2.42,inf,0,0,0,0.0
term_spread_10y_2y_pct,estimation,False,-1.0800000000000005,-inf,1.5899999999999999,inf,0,0,0,0.0
average_equity_correlation_60d,estimation,False,0.024740587533707625,-inf,0.5833349013510621,inf,0,0,0,0.0
negative_momentum_21d,estimation,False,-0.1267991303504379,-inf,0.16453622993833317,inf,0,0,0,0.0
lagged_portfolio_loss_1d,estimation,False,-0.08981365194695544,-inf,0.056087395643640486,inf,0,0,0,0.0
market_loss_1d,test,False,-0.02865339408996803,-inf,0.02614828294302729,inf,0,0,0,0.0
vix,test,False,14.49,-inf,31.05,inf,0,0,0,0.0
realized_volatility_20d,test,False,0.05767186033940045,-inf,0.1555492685570565,inf,0,0,0,0.0
drawdown_severity,test,False,-0.0,-inf,0.07115135248215254,inf,0,0,0,0.0
liquidity_stress_20d,test,False,0.3716178974729604,-inf,0.46427575264144033,inf,0,0,0,0.0
baa_credit_spread_pct,test,False,1.5,-inf,1.85,inf,0,0,0,0.0
term_spread_10y_2y_pct,test,False,0.2699999999999996,-inf,0.7399999999999998,inf,0,0,0,0.0
average_equity_correlation_60d,test,False,-0.009412440732904249,-inf,0.0865575533342837,inf,0,0,0,0.0
negative_momentum_21d,test,False,-0.12998401055479086,-inf,0.04987928613941218,inf,0,0,0,0.0
lagged_portfolio_loss_1d,test,False,-0.023482238970575626,-inf,0.018325386062564064,inf,0,0,0,0.0
