model,stress observations,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
Gradient boosting,82,6.124910707855698e-05,0.007826180874382919,0.006210101443952128,0.008103647565334257,0.0218478076010582,0.17191369286291405
Fuzzy Choquet neural network,82,6.25991212363054e-05,0.007911960644259133,0.006218643435512717,0.008088686197639614,0.0002879943865150558,0.07450894014069334
Random forest,82,6.277863825798513e-05,0.007923297183495336,0.006172429080543049,0.008219438256487716,-0.0025789040337955704,-0.011833625823299415
Historical mean,82,6.33482130687451e-05,0.00795915906793834,0.006152788940793218,0.008370890369075734,-0.01167505051582518,
Choquet 2-additive scaled-q L1,82,6.33482130687451e-05,0.00795915906793834,0.006152788940793218,0.008370890369075734,-0.01167505051582518,
Choquet 1-additive scaled-q,82,6.33482130687451e-05,0.00795915906793834,0.006152788940793218,0.008370890369075734,-0.01167505051582518,
Elastic net,82,6.33482130687451e-05,0.00795915906793834,0.006152788940793218,0.008370890369075734,-0.01167505051582518,
Lasso,82,6.33482130687451e-05,0.00795915906793834,0.006152788940793218,0.008370890369075734,-0.01167505051582518,
Choquet 2-additive scaled-q,82,6.33482130687451e-05,0.00795915906793834,0.006152788940793218,0.008370890369075734,-0.01167505051582518,
Monotone linear,82,6.366072185339943e-05,0.007978766938155258,0.006161741836079177,0.0084129106147142,-0.016665835972689003,-0.19504773564407288
Choquet model aggregator,82,6.453990618039866e-05,0.008033673268212908,0.006197358488101069,0.00850730547675388,-0.03070646640790664,-0.0340309323320152
MLP,82,6.692509944835911e-05,0.008180776213071662,0.006225706835705918,0.008554629358940488,-0.06879815681179036,-0.19981465301875195
Ridge,82,6.80459334542064e-05,0.00824899590581826,0.0063261229880249995,0.008911516065048882,-0.0866979482116661,-0.0032694678848648323
OLS,82,6.849979626783174e-05,0.008276460370703875,0.0063411488351115776,0.008952910187532614,-0.09394616663265576,0.0017167350395192976
OLS oriented,82,6.849979626783174e-05,0.008276460370703875,0.0063411488351115776,0.008952910187532614,-0.09394616663265576,0.0017167350395192976
Explicit interactions,82,7.799250244224404e-05,0.008831336390504216,0.006853147331030622,0.009051062611417911,-0.2455452967945242,-0.04418581082604079
Choquet 2-additive,82,0.00011939572854543591,0.010926835248388982,0.008708964095874187,0.011438426471704725,-0.9067574893785462,-0.14581192199576093
Choquet 2-additive L1,82,0.0001244571738810348,0.011156037552869513,0.008544719976416584,0.011217180911164207,-0.9875890979989554,-0.10597324194091456
Choquet 1-additive,82,0.00012742660459967177,0.011288339319832292,0.00866680173992082,0.011419579117385996,-1.035011098190504,-0.11783150299104073
