model,fit observations,extreme fit observations removed,extreme fit rate,test observations,stress test observations,full-fit test RMSE,reduced-fit test RMSE,test RMSE change,mean absolute prediction change,maximum absolute prediction change,full-fit stress RMSE,reduced-fit stress RMSE,stress mean absolute prediction change,failure
OLS,1235,122,0.09878542510121457,134,75,0.028697349063793298,0.028382249213054503,-0.0003150998507387946,0.0016611348468402603,0.005913224533278211,0.025320856244228963,0.02501543225194829,0.0017097843378538688,
Ridge,1235,122,0.09878542510121457,134,75,0.028584761249377193,0.028289393577639623,-0.0002953676717375696,0.0016143153211978457,0.005942581435519064,0.02509015830812505,0.024825080339037534,0.0016448420049533048,
Lasso,1235,122,0.09878542510121457,134,75,0.02671517694688029,0.026730466895465297,1.5289948585007346e-05,0.0006554273991299783,0.0006554273991299783,0.021330271449479486,0.021486202930182358,0.0006554273991299783,
Monotone linear,1235,122,0.09878542510121457,134,75,0.027169093799471494,0.02708514054470957,-8.395325476192456e-05,0.0007486896104177992,0.003041521237574644,0.02182459103612631,0.02187800922656146,0.0006603279498284476,
Gradient boosting,1235,122,0.09878542510121457,134,75,0.026006158630618774,0.026685015601549664,0.0006788569709308898,0.0026055112047931373,0.010684778654262133,0.021875891598121627,0.021798586539545223,0.0024922228901932786,
Choquet 1-additive,1235,122,0.09878542510121457,134,75,0.027311725715059302,0.028583746761439623,0.0012720210463803214,0.0031143836585704925,0.010531049868493063,0.02285875255472186,0.024386398344597913,0.0028494311141517162,
Choquet 1-additive scaled-q,1235,122,0.09878542510121457,134,75,0.02671517694688029,0.026730466895465297,1.5289948585007346e-05,0.0006554273991299783,0.0006554273991299783,0.021330271449479486,0.021486202930182358,0.0006554273991299783,
Choquet 2-additive,1235,122,0.09878542510121457,134,75,0.028155912463164498,0.03002470110741826,0.0018687886442537611,0.002968214922153991,0.011712855560333552,0.024047381703185666,0.025984053769098275,0.0024499473325985776,
Choquet 2-additive L1,1235,122,0.09878542510121457,134,75,0.02705453828086009,0.028289323207572492,0.0012347849267124004,0.003231038745802097,0.010594866737268192,0.022681884897695088,0.02421733596033161,0.0029471998172011893,
Choquet 2-additive scaled-q,1235,122,0.09878542510121457,134,75,0.02671517694688029,0.026730466895465297,1.5289948585007346e-05,0.0006554273991299783,0.0006554273991299783,0.021330271449479486,0.021486202930182358,0.0006554273991299783,
Choquet 2-additive scaled-q L1,1235,122,0.09878542510121457,134,75,0.02671517694688029,0.026730466895465297,1.5289948585007346e-05,0.0006554273991299783,0.0006554273991299783,0.021330271449479486,0.021486202930182358,0.0006554273991299783,
