,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
Choquet 2-additive L1,0.005372319058213294,0.07329610534137058,0.06218615055221776,0.08127895121904173,-2.8758954395372145,0.1115700914246557
Choquet 2-additive,0.005451647619796013,0.07383527354724172,0.06186046614944628,0.08228909974223757,-2.933127559731833,0.018034280727274175
Choquet 1-additive,0.005472916919196272,0.0739791654399823,0.06284103076610173,0.0818694786999865,-2.9484724377359766,0.10326332007079472
Choquet model aggregator,0.005917339224098156,0.07692424340933199,0.06268921122856777,0.08560824661233228,-3.2691038756928092,-0.20572238207673185
OLS oriented,0.005965663125286958,0.07723770533416278,0.06342811510062395,0.08617544306775544,-3.3039674767203735,-0.3192114995970609
OLS,0.005965663125286958,0.07723770533416278,0.06342811510062395,0.08617544306775544,-3.3039674767203735,-0.3192114995970609
Ridge,0.005994415231541835,0.07742360900617999,0.06381429376001327,0.08649389529366706,-3.324710875670217,-0.32055726597777023
Explicit interactions,0.006038066500916412,0.07770499662773567,0.062166569902278875,0.07677607565636071,-3.356203375290148,-0.020905471899041437
Monotone linear,0.006261457827002521,0.07912937398338572,0.06921979389293857,0.08998301371951456,-3.5173705384141645,-0.19752871916468787
Lasso,0.00627767085578724,0.07923175408753261,0.06848280832954037,0.08975950181686433,-3.5290675362370525,-0.2621010606044989
Elastic net,0.00636815670964243,0.07980073126007324,0.06792373924097375,0.09017345279422077,-3.594349159405688,-0.3631422861690946
Gradient boosting,0.006434843592142398,0.08021747684976384,0.06496622661810754,0.08853437311561108,-3.6424608558551803,-0.14395636483309593
Choquet 2-additive scaled-q,0.006757452612694596,0.08220372627013083,0.07328650720612424,0.09354988804601634,-3.8752092868330843,0.004796054802849433
Choquet 1-additive scaled-q,0.006757452612694596,0.08220372627013083,0.07328650720612424,0.09354988804601634,-3.8752092868330843,0.004796054802849433
Historical mean,0.006757452612694596,0.08220372627013083,0.07328650720612424,0.09354988804601634,-3.8752092868330843,0.004796054802849433
Choquet 2-additive scaled-q L1,0.0067574526126958495,0.08220372627013844,0.07328650720613347,0.09354988804602417,-3.8752092868339885,0.004796054804464846
Random forest,0.006979461783844962,0.0835431731731861,0.07224466620857724,0.09453060577603256,-4.035379285054172,-0.2525000459909198
Fuzzy Choquet neural network,0.009781775181730575,0.09890285729811134,0.08482306680010147,0.10987276351459757,-6.057126988667134,-0.38796331386867966
MLP,0.010316832602859769,0.10157181007966615,0.08320117245122458,0.10295211356608078,-6.443147736127151,-0.15147969407838344
