first,second,mean,std,min,max,count,sign persistence,mean absolute interaction
market_loss_1d,lagged_portfolio_loss_1d,-0.21447000141967085,0.13718332567221223,-0.3102788808789889,-0.002469379385940031,5,1.0,0.21447000141967085
realized_volatility_20d,term_spread_10y_2y_pct,-0.14450049868064935,0.14341451499307264,-0.3640433952359873,-0.010590238259057964,5,1.0,0.14450049868064935
market_loss_1d,realized_volatility_20d,-0.10812317713487421,0.09775566366882608,-0.18848994028817007,-1.0777252562820274e-17,5,1.0,0.10812317713487421
realized_volatility_20d,lagged_portfolio_loss_1d,-0.06037052394423568,0.05572874236634307,-0.11134400645777652,3.3648740603811217e-18,5,0.8,0.06037052394423568
term_spread_10y_2y_pct,negative_momentum_21d,-0.053013626367010416,0.03672375438708252,-0.08627022889153393,-8.992725290093458e-18,5,1.0,0.053013626367010416
term_spread_10y_2y_pct,lagged_portfolio_loss_1d,-0.04809177071459502,0.07241482785832541,-0.17545604440999488,9.402483967774022e-18,5,0.8,0.04809177071459502
realized_volatility_20d,baa_credit_spread_pct,-0.04322281925633158,0.03311993919213444,-0.09302938467601113,-1.9398602314223462e-18,5,1.0,0.04322281925633158
market_loss_1d,term_spread_10y_2y_pct,-0.040356584210717875,0.057090108035035905,-0.14104080160457402,3.0473382811796227e-18,5,0.8,0.04035658421071788
liquidity_stress_20d,term_spread_10y_2y_pct,0.034738166614995264,0.06920230330554553,-4.220677064378417e-18,0.15792735335299385,5,0.6,0.034738166614995264
drawdown_severity,term_spread_10y_2y_pct,-0.024513686425186296,0.05584452507907953,-0.1242378291941358,0.0054507785722219294,5,0.6,0.026693997854075075
vix,term_spread_10y_2y_pct,-0.0210889279778698,0.03888614751120567,-0.09016300586869679,1.4833336234735383e-18,5,0.6,0.0210889279778698
term_spread_10y_2y_pct,average_equity_correlation_60d,-0.019537694605143874,0.0436876132607326,-0.09768847302571936,6.171222590924983e-18,5,0.8,0.019537694605143874
drawdown_severity,baa_credit_spread_pct,-0.01930756841525592,0.01779938097822648,-0.03613849088214203,2.1104095370172958e-17,5,0.8,0.01930756841525593
realized_volatility_20d,liquidity_stress_20d,0.009588298391591152,0.03328345451466321,-0.01928221566743542,0.06722370762539118,5,0.6,0.017301184658565318
vix,baa_credit_spread_pct,-0.015276563947028827,0.022616369591401248,-0.0505310738177531,7.184938125793895e-18,5,0.6,0.015276563947028832
liquidity_stress_20d,average_equity_correlation_60d,0.015057247832908132,0.03366902970844398,-5.394163951489786e-18,0.07528623916454066,5,0.6,0.015057247832908132
realized_volatility_20d,negative_momentum_21d,-0.01242516916210783,0.01954843834390647,-0.04467687808808816,2.6402277052258342e-18,5,0.8,0.01242516916210783
vix,average_equity_correlation_60d,-0.010930058413903728,0.024440353611532264,-0.05465029206951864,1.3340786860908957e-17,5,0.6,0.010930058413903735
drawdown_severity,lagged_portfolio_loss_1d,0.0025227660336892355,0.018188698139665314,-0.01894761269405795,0.031561442862504126,5,0.6,0.010101811111312416
baa_credit_spread_pct,negative_momentum_21d,-0.00203079317155129,0.012870806304553287,-0.014727619994837838,0.017384662632790353,5,0.8,0.008984658224667432
