,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18
vix,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18
realized_volatility_20d,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18
drawdown_severity,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18
liquidity_stress_20d,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18
baa_credit_spread_pct,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18
term_spread_10y_2y_pct,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18
average_equity_correlation_60d,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,-3.0839528461809902e-18
negative_momentum_21d,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18
lagged_portfolio_loss_1d,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,-3.0839528461809902e-18,0.0
