,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-1.1862063393427481e-17,-3.522954881177406e-18,1.608768098534133e-17,0.019376841096218234,-0.0006825560898870493,2.9468205426030314e-17,-0.04965475338551471,-0.04077149806941212,-0.1366973059390028
vix,-1.1862063393427481e-17,0.0,7.044002087437817e-18,-1.7715733620472397e-17,-4.796174018435624e-18,-4.110971878221673e-17,1.8894151065439617e-17,2.7023610883767522e-17,-1.3783693741591645e-17,-2.373068210721989e-18
realized_volatility_20d,-3.522954881177406e-18,7.044002087437817e-18,0.0,-1.5996442732248725e-17,-1.265916518798858e-17,-0.18555000630707574,2.844389251640591e-17,-1.753291209668533e-17,1.648418920842175e-17,-1.6475556835137562e-17
drawdown_severity,1.608768098534133e-17,-1.7715733620472397e-17,-1.5996442732248725e-17,0.0,1.3163432840123298e-17,-0.09303308749016596,2.195107036346415e-17,-2.822211294389475e-17,1.334270851557653e-18,-4.8752427605613885e-17
liquidity_stress_20d,0.019376841096218234,-4.796174018435624e-18,-1.265916518798858e-17,1.3163432840123298e-17,0.0,-0.044377896264655575,9.494103688354505e-18,0.11538116103399776,-0.00985602691987437,0.07195763430006383
baa_credit_spread_pct,-0.0006825560898870493,-4.110971878221673e-17,-0.18555000630707574,-0.09303308749016596,-0.044377896264655575,0.0,3.528365936454303e-17,-0.10513218573682662,-8.396701789874147e-18,7.085537929832334e-17
term_spread_10y_2y_pct,2.9468205426030314e-17,1.8894151065439617e-17,2.844389251640591e-17,2.195107036346415e-17,9.494103688354505e-18,3.528365936454303e-17,0.0,2.398124399430247e-17,4.717146798585272e-17,6.105331603760536e-18
average_equity_correlation_60d,-0.04965475338551471,2.7023610883767522e-17,-1.753291209668533e-17,-2.822211294389475e-17,0.11538116103399776,-0.10513218573682662,2.398124399430247e-17,0.0,-3.747397148243772e-17,-0.02124801434788278
negative_momentum_21d,-0.04077149806941212,-1.3783693741591645e-17,1.648418920842175e-17,1.334270851557653e-18,-0.00985602691987437,-8.396701789874147e-18,4.717146798585272e-17,-3.747397148243772e-17,0.0,-0.037866535027750114
lagged_portfolio_loss_1d,-0.1366973059390028,-2.373068210721989e-18,-1.6475556835137562e-17,-4.8752427605613885e-17,0.07195763430006383,7.085537929832334e-17,6.105331603760536e-18,-0.02124801434788278,-0.037866535027750114,0.0
