,Historical mean,OLS,OLS oriented,Monotone linear,Ridge,Lasso,Elastic net,Explicit interactions,Random forest,Gradient boosting,MLP
Historical mean,0.0,0.0019183670156077007,0.001918367021568211,0.000989166133993421,0.0017557367818827629,0.000912712764320732,0.0009127127643207431,0.0016912022697312824,0.0009174422586698274,0.0008199663096110591,0.0005980378053090224
OLS,0.0019183670156077007,0.0,0.00190222616671082,0.001902659562064767,0.001897374408402049,0.0019183670215682119,0.0019183670156077003,0.0024245567773666606,0.001927598839729161,0.001856193989659762,0.0017967419802251573
OLS oriented,0.001918367021568211,0.00190222616671082,0.0,0.0019026595620647492,0.0018973744084020449,0.001918367021568208,0.0019183670156077016,0.0024245567773666624,0.0019275988397291484,0.0018561939896597534,0.0017967419802251325
Monotone linear,0.000989166133993421,0.001902659562064767,0.0019026595620647492,0.0,0.0017402651525777791,0.0009891661339934388,0.0009891661431101484,0.0017216477016170004,0.0009478560944919617,0.0008230186817299507,0.0006990968368989284
Ridge,0.0017557367818827629,0.001897374408402049,0.0018973744084020449,0.0017402651525777791,0.0,0.0017557367818827568,0.0017557367818827607,0.002290413875989035,0.0017585396501867544,0.0016694273762341042,0.001609113599018997
Lasso,0.000912712764320732,0.0019183670215682119,0.001918367021568208,0.0009891661339934388,0.0017557367818827568,0.0,0.000912712764320737,0.0016912022572251409,0.0009174422200914265,0.0008199664164822957,0.0005980377576138946
Elastic net,0.0009127127643207431,0.0019183670156077003,0.0019183670156077016,0.0009891661431101484,0.0017557367818827607,0.000912712764320737,0.0,0.0016912022572251474,0.0009174422200914324,0.0008199664164822912,0.0005980377576138879
Explicit interactions,0.0016912022697312824,0.0024245567773666606,0.0024245567773666624,0.0017216477016170004,0.002290413875989035,0.0016912022572251409,0.0016912022572251474,0.0,0.0016415922173466469,0.0014387113416803202,1.0395066991612207e-05
Random forest,0.0009174422586698274,0.001927598839729161,0.0019275988397291484,0.0009478560944919617,0.0017585396501867544,0.0009174422200914265,0.0009174422200914324,0.0016415922173466469,0.0,0.0007483559501265335,0.0005303604004391715
Gradient boosting,0.0008199663096110591,0.001856193989659762,0.0018561939896597534,0.0008230186817299507,0.0016694273762341042,0.0008199664164822957,0.0008199664164822912,0.0014387113416803202,0.0007483559501265335,0.0,0.0004533870793007917
MLP,0.0005980378053090224,0.0017967419802251573,0.0017967419802251325,0.0006990968368989284,0.001609113599018997,0.0005980377576138946,0.0005980377576138879,1.0395066991612207e-05,0.0005303604004391715,0.0004533870793007917,0.0
