,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,4.420528575225902e-05,0.00013234517742027391,6.874132493358171e-05,-6.088711307595125e-06,-0.00025723201624919213,7.887453869740712e-05,-7.604915670344216e-05,-0.0002855655217906576,-0.0004395364197748992
vix,4.420528575225902e-05,0.0,3.096893912999151e-05,2.3028267512774716e-05,-7.327189413025375e-05,-0.0005020381058957012,-0.00017506578017140284,1.9661010460916943e-05,-8.540494027609768e-05,-6.17283826719071e-05
realized_volatility_20d,0.00013234517742027391,3.096893912999151e-05,0.0,-0.00024686405580014024,-1.4983449255746511e-05,3.081690712293659e-05,-7.340957644900977e-05,0.0001643539770684676,-3.546825775585616e-05,-2.875563522010099e-05
drawdown_severity,6.874132493358171e-05,2.3028267512774716e-05,-0.00024686405580014024,0.0,1.80116019773755e-05,3.251677365435132e-05,-3.759041840936924e-05,2.7971140539128512e-05,-4.272282881205477e-06,2.2741373332759026e-05
liquidity_stress_20d,-6.088711307595125e-06,-7.327189413025375e-05,-1.4983449255746511e-05,1.80116019773755e-05,0.0,-0.00015339950081480228,-1.9717277036890803e-06,-9.162368530772788e-05,0.0001513894533003855,-3.7764411946438305e-05
baa_credit_spread_pct,-0.00025723201624919213,-0.0005020381058957012,3.081690712293659e-05,3.251677365435132e-05,-0.00015339950081480228,0.0,-4.516706013490628e-05,2.183331336935346e-06,-1.9750932454482818e-05,0.00018776508306544073
term_spread_10y_2y_pct,7.887453869740712e-05,-0.00017506578017140284,-7.340957644900977e-05,-3.759041840936924e-05,-1.9717277036890803e-06,-4.516706013490628e-05,0.0,0.00012107254028833394,0.0001910220601511711,0.0002859362485746332
average_equity_correlation_60d,-7.604915670344216e-05,1.9661010460916943e-05,0.0001643539770684676,2.7971140539128512e-05,-9.162368530772788e-05,2.183331336935346e-06,0.00012107254028833394,0.0,-9.308308822496924e-05,5.8443987926095446e-05
negative_momentum_21d,-0.0002855655217906576,-8.540494027609768e-05,-3.546825775585616e-05,-4.272282881205477e-06,0.0001513894533003855,-1.9750932454482818e-05,0.0001910220601511711,-9.308308822496924e-05,0.0,-0.0007021724009076266
lagged_portfolio_loss_1d,-0.0004395364197748992,-6.17283826719071e-05,-2.875563522010099e-05,2.2741373332759026e-05,-3.7764411946438305e-05,0.00018776508306544073,0.0002859362485746332,5.8443987926095446e-05,-0.0007021724009076266,0.0
