model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
OLS oriented,market_loss_1d,0.0014846795929628611,0.0014846795929628611,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.006736822496298133,-0.007743397134455428,0.04033907791771785
OLS oriented,vix,-0.02488215085097292,0.02488215085097292,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.06770981786180673,-0.017334110965460375,-0.05755407271533871
OLS oriented,realized_volatility_20d,0.02377799390023613,0.02377799390023613,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.004709567180730929,0.04983615818059362,-0.09283562129254483
OLS oriented,drawdown_severity,-0.025273765680637814,0.025273765680637814,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.0860155744292659,-0.03695414015051207,-0.06829694949374647
OLS oriented,liquidity_stress_20d,0.003464345027971454,0.003464345027971454,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.03224442334153813,0.0014634615140925727,0.0004089397057475648
OLS oriented,baa_credit_spread_pct,-0.016394491062812398,0.016394491062812398,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.03182134635934671,-0.08245288792629706,-0.014272551358795247
OLS oriented,term_spread_10y_2y_pct,-0.0015034826900783736,0.0015034826900783736,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.07937101755260587,0.044694813225263794,0.007017487263699664
OLS oriented,average_equity_correlation_60d,0.01097320172155784,0.01097320172155784,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.06253011551561252,0.02413427411330505,-0.09118650233828597
OLS oriented,negative_momentum_21d,-0.01729430985794769,0.01729430985794769,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.08260056921130647,0.015285412326058774,-0.03681077660001785
OLS oriented,lagged_portfolio_loss_1d,-0.04509097801411611,0.04509097801411611,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1004,training only (frozen before validation refit),-0.09897222516124551,-0.025019518030279426,-0.004821355833579776
