model,equal weight,lagged market-cap weight
Historical mean,0.026189533699087834,0.03184292102058302
Choquet 1-additive scaled-q,0.026189533699087834,0.03184292102058302
Choquet 2-additive scaled-q,0.026189533699087834,0.03184292102058302
Choquet 2-additive scaled-q L1,0.026189533699088306,0.03184292102058381
Monotone linear,0.02621125501465217,0.031882196575896506
Lasso,0.02654460772917564,
Elastic net,0.02690923793491552,
Gradient boosting,0.027421438951727054,0.0339320973688137
Choquet model aggregator,0.02756360102255082,
Random forest,0.027777585888620383,
Ridge,0.028090481744013546,
OLS,0.028238696359890233,0.03512833839079154
OLS oriented,0.028238696359890233,0.03512833839079154
Choquet 2-additive,0.030261113992083817,0.03533059024640785
Choquet 1-additive,0.03029428214929995,0.03552193160115943
Choquet 2-additive L1,0.030315538521598642,0.03538452802475105
Fuzzy Choquet neural network,0.03457124208942529,
MLP,0.035993500167471375,
Explicit interactions,0.053012629337278294,0.047310447059085124
