model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
Historical mean,0.0013120140231724052,0.03622173412707356,0.025613928307329364,0.03665647699937591,0.0,-0.0777551160035311,0.03344501857334276,0.030584699999849363,0.021421700000018973,,7
Monotone linear,0.0013442184951047338,0.03666358540984138,0.026541034749717543,0.036468069569637114,-0.024545829056353607,0.010789515763165653,0.0349124766861804,0.046129599999972015,0.029298799999764924,11.0,7
Random forest,0.0014031036526185542,0.03745802520980723,0.02660672159733583,0.03717753510751593,-0.06942732915757821,0.04448699634046779,0.03520248384124168,12.36995139999999,1.7472232999998596,,7
Elastic net,0.0014876625663330961,0.0385702290158238,0.028796375625611825,0.0379610415665889,-0.13387703184450617,0.016280101997231067,0.03692550243714286,0.3082999999999174,0.02358490000005986,11.0,7
Gradient boosting,0.0015038722076327012,0.03877979122729648,0.027882635132732068,0.03647242352078114,-0.14623180931891988,0.1470751131484647,0.038915366873423805,5.502856700000052,0.5750188999999182,,7
Lasso,0.0015531901799351736,0.03941053387021259,0.02912276198525404,0.038981408038293364,-0.18382132546084584,-0.024481736309180827,0.03274058798006607,0.13679390000004332,0.023132200000191006,11.0,7
Ridge,0.001575461837257349,0.039692087842003836,0.030051845490361252,0.0381587688691294,-0.20079649259230914,0.03998469333033631,0.03916803010711124,0.13171910000005482,0.02273230000002968,11.0,7
Choquet 2-additive,0.0015922579359447977,0.03990310684576826,0.028834605524796247,0.035714562222407015,-0.21359826024936246,0.028151179104035612,0.04096272035720274,4.500396000000023,4.713458399999922,56.0,7
OLS,0.001592724647044115,0.03990895447194921,0.030274082443846863,0.038246890620500996,-0.21395398137053512,0.040666354703368136,0.039680585633362526,0.034870300000079624,0.02440480000007028,11.0,7
OLS oriented,0.001592724647044115,0.03990895447194921,0.030274082443846863,0.038246890620500996,-0.21395398137053512,0.040666354703368136,0.039680585633362526,0.04480340000009164,0.030416199999990567,11.0,7
Choquet 1-additive,0.0016459439219803382,0.04057023443339141,0.02939247301743279,0.03590865567191595,-0.25451701956698747,0.025469233891742576,0.04215464589221403,1.2448530000001483,0.9813001999999642,11.0,7
Choquet 2-additive L1,0.0016621073058050394,0.040768950266165054,0.02958968571871263,0.03559569999580687,-0.2668365401965145,0.03897549567401984,0.040088103680739576,19.55823709999993,5.703838200000064,56.0,7
Explicit interactions,0.0018389971907660835,0.042883530530567135,0.03277062004914914,0.038472847093360296,-0.40165970659326566,0.23346428763497376,0.047766381404379624,0.17664809999996578,0.03099559999975554,56.0,7
MLP,0.004504728586832176,0.06711727487638466,0.05078400464117771,0.0559301788026645,-2.4334454565812456,0.2091815497287539,0.08067591894701641,14.579427300000134,4.876537600000233,,7
