model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
Lasso,0.0006827950262973225,0.02613034684609683,0.01828904618374619,0.02619777166005555,0.0008751737029145668,0.06160425509918324,0.01946222913443439,0.005733000001782784,0.004037999999127351,11.0
Historical mean,0.0006833931139794302,0.026141788653025067,0.018379530137418765,0.025831932729615172,0.0,,0.019547435139186168,0.005689199999324046,0.003619200000684941,
Elastic net,0.0007024884703083284,0.02650449905786428,0.018347669991513424,0.02719532262945162,-0.02794197942338794,0.09069619693415244,0.02052428666662709,0.005889799998840317,0.004212699997879099,11.0
Ridge,0.0007082045104264806,0.026612112100066025,0.01840784313185176,0.027346095717001726,-0.036306184448614776,0.08758903430074477,0.02072026047829845,0.0056854000031307805,0.003908200000296347,11.0
OLS,0.0007084933986343213,0.026617539304645,0.018411024715152588,0.027353812635729755,-0.0367289106978721,0.08746477597779577,0.02073119307193135,0.005937999998423038,0.004414400002133334,11.0
Random forest,0.000713309100541035,0.026707847171590506,0.018516746385610554,0.027245391456523164,-0.04377566286467616,0.08347440423263151,0.02240605634611884,0.2847966000008455,0.2651713999985077,
Choquet 2-additive L1,0.000819529727760808,0.028627429639435115,0.020283844796525133,0.028830493618782545,-0.19920688546106047,0.10423713039185532,0.02217015400623336,0.4382017000025371,0.3278855000025942,56.0
Gradient boosting,0.0008392497313374309,0.0289698072368014,0.020647674889421118,0.02863053434364962,-0.2280629028443677,0.09429879576364496,0.028756014350665167,0.12860559999899124,0.09026429999721586,
Choquet 2-additive,0.0008488736706011806,0.029135436681147934,0.020655974876193348,0.02941485385899092,-0.24214548440230743,0.10275084292587866,0.023140446394331462,0.4450214999997115,0.5364521999981662,56.0
Choquet 1-additive,0.0008494518590530677,0.029145357418516378,0.020538851450142694,0.02930901426216984,-0.24299153982788857,0.07984131117741133,0.022962572014225042,0.1260065000024042,0.0848721000002115,11.0
Explicit interactions,0.0008884304510140103,0.029806550471565982,0.02227474375014862,0.02674301907847657,-0.30002839191726416,0.12431120911957651,0.03849259831919797,0.006994000003032852,0.004942399998981273,56.0
MLP,0.006012876019940816,0.07754273673233887,0.056371563182277123,0.06163831474201124,-7.798561028699217,-0.061496046728707524,0.08683958186623537,0.5870912000027602,0.46068129999912344,
