model,best parameters
Historical mean,{}
OLS,{}
OLS oriented,{}
Monotone linear,{}
Ridge,{'regressor__alpha': 10.0}
Lasso,{'regressor__alpha': 0.01}
Elastic net,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
Explicit interactions,{'regressor__ridge__alpha': 10.0}
Random forest,"{'regressor__max_depth': 6, 'regressor__min_samples_leaf': 20}"
Gradient boosting,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 15}"
Choquet 1-additive,{}
Choquet 2-additive,{}
Choquet 2-additive L1,"{'regressor__regressor__penalty': L1Penalty(weight=0.01, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
MLP,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32, 16)}"
