fold,model,feature,Shapley importance
0,Choquet 1-additive,average_equity_correlation_60d,0.0023346127388297415
0,Choquet 1-additive,baa_credit_spread_pct,2.042381976380469e-18
0,Choquet 1-additive,drawdown_severity,-1.5635791244873343e-18
0,Choquet 1-additive,lagged_portfolio_loss_1d,0.40467701710740633
0,Choquet 1-additive,liquidity_stress_20d,0.04156504942268239
0,Choquet 1-additive,market_loss_1d,0.3930806490761741
0,Choquet 1-additive,negative_momentum_21d,0.03353553424398428
0,Choquet 1-additive,realized_volatility_20d,0.06605740155861667
0,Choquet 1-additive,term_spread_10y_2y_pct,0.058749735852301616
0,Choquet 1-additive,vix,-5.368223231355933e-18
0,Choquet 1-additive scaled-q,average_equity_correlation_60d,0.10000000000000013
0,Choquet 1-additive scaled-q,baa_credit_spread_pct,0.10000000000000013
0,Choquet 1-additive scaled-q,drawdown_severity,0.10000000000000013
0,Choquet 1-additive scaled-q,lagged_portfolio_loss_1d,0.10000000000000013
0,Choquet 1-additive scaled-q,liquidity_stress_20d,0.10000000000000013
0,Choquet 1-additive scaled-q,market_loss_1d,0.10000000000000013
0,Choquet 1-additive scaled-q,negative_momentum_21d,0.10000000000000013
0,Choquet 1-additive scaled-q,realized_volatility_20d,0.10000000000000013
0,Choquet 1-additive scaled-q,term_spread_10y_2y_pct,0.10000000000000013
0,Choquet 1-additive scaled-q,vix,0.10000000000000013
0,Choquet 2-additive,average_equity_correlation_60d,0.008782705180456932
0,Choquet 2-additive,baa_credit_spread_pct,0.025691933744899212
0,Choquet 2-additive,drawdown_severity,0.07128777748773957
0,Choquet 2-additive,lagged_portfolio_loss_1d,0.3555450668895189
0,Choquet 2-additive,liquidity_stress_20d,0.040882702812279806
0,Choquet 2-additive,market_loss_1d,0.2671543130778081
0,Choquet 2-additive,negative_momentum_21d,0.040468291303090695
0,Choquet 2-additive,realized_volatility_20d,0.07748641492198831
0,Choquet 2-additive,term_spread_10y_2y_pct,0.11270079458221956
0,Choquet 2-additive,vix,8.161736355429756e-18
0,Choquet 2-additive L1,average_equity_correlation_60d,0.00195756647166768
0,Choquet 2-additive L1,baa_credit_spread_pct,0.023877317822206198
0,Choquet 2-additive L1,drawdown_severity,0.051340027055244604
0,Choquet 2-additive L1,lagged_portfolio_loss_1d,0.3824092534061842
0,Choquet 2-additive L1,liquidity_stress_20d,0.03958071282657903
0,Choquet 2-additive L1,market_loss_1d,0.3271462457970662
0,Choquet 2-additive L1,negative_momentum_21d,0.032266577408401935
0,Choquet 2-additive L1,realized_volatility_20d,0.04960143762702869
0,Choquet 2-additive L1,term_spread_10y_2y_pct,0.09176964215747249
0,Choquet 2-additive L1,vix,5.121942814852994e-05
0,Choquet 2-additive scaled-q,average_equity_correlation_60d,0.10000000000000013
0,Choquet 2-additive scaled-q,baa_credit_spread_pct,0.10000000000000013
0,Choquet 2-additive scaled-q,drawdown_severity,0.10000000000000013
0,Choquet 2-additive scaled-q,lagged_portfolio_loss_1d,0.10000000000000013
0,Choquet 2-additive scaled-q,liquidity_stress_20d,0.10000000000000013
0,Choquet 2-additive scaled-q,market_loss_1d,0.10000000000000013
0,Choquet 2-additive scaled-q,negative_momentum_21d,0.10000000000000013
0,Choquet 2-additive scaled-q,realized_volatility_20d,0.10000000000000013
0,Choquet 2-additive scaled-q,term_spread_10y_2y_pct,0.10000000000000013
0,Choquet 2-additive scaled-q,vix,0.10000000000000013
0,Choquet 2-additive scaled-q L1,average_equity_correlation_60d,0.10000000000000044
0,Choquet 2-additive scaled-q L1,baa_credit_spread_pct,0.10000000000000044
0,Choquet 2-additive scaled-q L1,drawdown_severity,0.10000000000000044
0,Choquet 2-additive scaled-q L1,lagged_portfolio_loss_1d,0.10000000000000044
0,Choquet 2-additive scaled-q L1,liquidity_stress_20d,0.10000000000000044
0,Choquet 2-additive scaled-q L1,market_loss_1d,0.10000000000000044
0,Choquet 2-additive scaled-q L1,negative_momentum_21d,0.10000000000000044
0,Choquet 2-additive scaled-q L1,realized_volatility_20d,0.10000000000000044
0,Choquet 2-additive scaled-q L1,term_spread_10y_2y_pct,0.10000000000000044
0,Choquet 2-additive scaled-q L1,vix,0.10000000000000044
0,Choquet model aggregator,Elastic net,0.09090909090909105
0,Choquet model aggregator,Explicit interactions,0.09090909090909105
0,Choquet model aggregator,Gradient boosting,0.09090909090909105
0,Choquet model aggregator,Historical mean,0.09090909090909105
0,Choquet model aggregator,Lasso,0.09090909090909105
0,Choquet model aggregator,MLP,0.09090909090909105
0,Choquet model aggregator,Monotone linear,0.09090909090909105
0,Choquet model aggregator,OLS,0.09090909090909105
0,Choquet model aggregator,OLS oriented,0.09090909090909105
0,Choquet model aggregator,Random forest,0.09090909090909105
0,Choquet model aggregator,Ridge,0.09090909090909105
0,Fuzzy Choquet neural network,average_equity_correlation_60d,0.10000000000000013
0,Fuzzy Choquet neural network,baa_credit_spread_pct,0.10000000000000013
0,Fuzzy Choquet neural network,drawdown_severity,0.10000000000000013
0,Fuzzy Choquet neural network,lagged_portfolio_loss_1d,0.10000000000000013
0,Fuzzy Choquet neural network,liquidity_stress_20d,0.10000000000000013
0,Fuzzy Choquet neural network,market_loss_1d,0.10000000000000013
0,Fuzzy Choquet neural network,negative_momentum_21d,0.10000000000000013
0,Fuzzy Choquet neural network,realized_volatility_20d,0.10000000000000013
0,Fuzzy Choquet neural network,term_spread_10y_2y_pct,0.10000000000000013
0,Fuzzy Choquet neural network,vix,0.10000000000000013
1,Choquet 1-additive,average_equity_correlation_60d,0.010524339281086375
1,Choquet 1-additive,baa_credit_spread_pct,-5.226177150598129e-18
1,Choquet 1-additive,drawdown_severity,-1.9767328894780354e-18
1,Choquet 1-additive,lagged_portfolio_loss_1d,0.4955792213524195
1,Choquet 1-additive,liquidity_stress_20d,0.016061756023965222
1,Choquet 1-additive,market_loss_1d,0.4645067158099132
1,Choquet 1-additive,negative_momentum_21d,2.7915409388279057e-18
1,Choquet 1-additive,realized_volatility_20d,4.036781553044094e-18
1,Choquet 1-additive,term_spread_10y_2y_pct,0.013327967532615687
1,Choquet 1-additive,vix,8.118178885963875e-19
1,Choquet 1-additive scaled-q,average_equity_correlation_60d,0.10000000000000013
1,Choquet 1-additive scaled-q,baa_credit_spread_pct,0.10000000000000013
1,Choquet 1-additive scaled-q,drawdown_severity,0.10000000000000013
1,Choquet 1-additive scaled-q,lagged_portfolio_loss_1d,0.10000000000000013
1,Choquet 1-additive scaled-q,liquidity_stress_20d,0.10000000000000013
1,Choquet 1-additive scaled-q,market_loss_1d,0.10000000000000013
1,Choquet 1-additive scaled-q,negative_momentum_21d,0.10000000000000013
1,Choquet 1-additive scaled-q,realized_volatility_20d,0.10000000000000013
1,Choquet 1-additive scaled-q,term_spread_10y_2y_pct,0.10000000000000013
1,Choquet 1-additive scaled-q,vix,0.10000000000000013
1,Choquet 2-additive,average_equity_correlation_60d,1.5958732382892083e-05
1,Choquet 2-additive,baa_credit_spread_pct,-8.263014559269213e-19
1,Choquet 2-additive,drawdown_severity,1.3820180726671478e-17
1,Choquet 2-additive,lagged_portfolio_loss_1d,0.4067388612830417
1,Choquet 2-additive,liquidity_stress_20d,0.0012500830331457309
1,Choquet 2-additive,market_loss_1d,0.39853354693934057
1,Choquet 2-additive,negative_momentum_21d,0.01632835447761144
1,Choquet 2-additive,realized_volatility_20d,0.0810034283208299
1,Choquet 2-additive,term_spread_10y_2y_pct,0.077654600696102
