model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Explicit interactions [unweighted],Explicit interactions,unweighted,uncalibrated,rolling_5y,0.07870106932048118,0.3808967536233009,0.082452134260937,0.0682095006090134,0.014242633651923603,0.014242633651923603
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.06871864534610049,0.283528413318696,0.0896233616598165,0.0682095006090134,0.021413861050803104,0.021413861050803104
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.06368000061158938,0.25434264576664556,0.06343609986682945,0.0682095006090134,-0.00477340074218395,0.00477340074218395
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.23601540842315716,0.6800906178807509,0.42738953089755993,0.0682095006090134,0.3591800302885465,0.3591800302885465
Random forest [unweighted],Random forest,unweighted,uncalibrated,rolling_5y,0.06737222153501433,0.27266713470573267,0.10680094917336673,0.0682095006090134,0.03859144856435333,0.03859144856435333
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.12678948950423605,0.46275519576752383,0.17239040360112248,0.0682095006090134,0.10418090299210908,0.10418090299210908
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.12678948950423605,0.46275519576752383,0.17239040360112248,0.0682095006090134,0.10418090299210908,0.10418090299210908
MLP [balanced] [sigmoid],MLP,balanced,sigmoid,rolling_5y,0.06454809921247208,0.25521555574265437,0.07918867124041415,0.0682095006090134,0.010979170631400748,0.010979170631400748
Explicit interactions [balanced],Explicit interactions,balanced,uncalibrated,rolling_5y,0.33279402080553333,1.9376231604329126,0.44931972163593553,0.0682095006090134,0.38111022102692216,0.38111022102692216
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.09481440747302826,0.3300834168833946,0.14172900468012162,0.0682095006090134,0.07351950407110822,0.07351950407110822
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.09481440747302826,0.3300834168833946,0.14172900468012162,0.0682095006090134,0.07351950407110822,0.07351950407110822
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.23840006254468346,0.6811557085295562,0.461944489656136,0.0682095006090134,0.39373498904712256,0.39373498904712256
