fold,sample,observations,start,end,events,event prevalence
0,OOS,253,2020-01-02,2020-12-31,21,0.08300395256916997
0,calibration,502,2018-01-02,2019-12-30,34,0.06772908366533864
0,selection_validation,377,2016-07-01,2017-12-28,12,0.03183023872679045
0,train,376,2015-01-02,2016-06-29,24,0.06382978723404255
1,OOS,252,2021-01-04,2021-12-31,7,0.027777777777777776
1,calibration,504,2019-01-02,2020-12-30,26,0.051587301587301584
1,selection_validation,376,2017-07-03,2018-12-28,35,0.09308510638297872
1,train,376,2016-01-04,2017-06-29,13,0.034574468085106384
2,OOS,251,2022-01-03,2022-12-30,26,0.10358565737051793
2,calibration,504,2020-01-02,2021-12-30,28,0.05555555555555555
2,selection_validation,377,2018-07-02,2019-12-30,18,0.04774535809018567
2,train,375,2017-01-03,2018-06-28,27,0.072
3,OOS,250,2023-01-03,2023-12-29,2,0.008
3,calibration,502,2021-01-04,2022-12-29,33,0.06573705179282868
3,selection_validation,380,2019-07-01,2020-12-30,24,0.06315789473684211
3,train,374,2018-01-02,2019-06-27,31,0.08288770053475936
4,OOS,252,2024-01-02,2024-12-31,14,0.05555555555555555
4,calibration,500,2022-01-03,2023-12-28,28,0.056
4,selection_validation,379,2020-07-01,2021-12-30,10,0.026385224274406333
4,train,376,2019-01-02,2020-06-29,23,0.061170212765957445
5,OOS,250,2025-01-02,2025-12-31,15,0.06
5,calibration,501,2023-01-03,2024-12-30,16,0.031936127744510975
5,selection_validation,378,2021-07-01,2022-12-29,33,0.0873015873015873
5,train,376,2020-01-02,2021-06-29,21,0.05585106382978723
6,OOS,143,2026-01-02,2026-07-29,6,0.04195804195804196
6,calibration,501,2024-01-02,2025-12-30,29,0.05788423153692615
6,selection_validation,376,2022-07-01,2023-12-28,7,0.018617021276595744
6,train,375,2021-01-04,2022-06-29,28,0.07466666666666667
