model,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count
Random forest,0.63679909833756,0.12095054376013517,0.0821566110397946,0.7032967032967034,0.1471264367816092,0.18753788284526088,0.5548457962194941,0.38730910338406555,0.4718352513628104,0.05511811023622047,0.1374765627980669,0.5960477999979048,0.5649983000002976,
Explicit interactions,0.6199140602986757,0.10995589423226082,0.05511811023622047,1.0,0.1044776119402985,0.39653163639877687,1.1668753911725156,4.730662340521361e-14,1.0,0.05511811023622047,0.04509152809645014,0.015967700001056073,0.015181500002654502,56.0
Choquistic 1-additive,0.6699774584389969,0.10001512220207776,0.08948194662480377,0.6263736263736264,0.1565934065934066,0.31753839977406983,0.8740010869615824,0.5814317828308665,0.3858267716535433,0.05511811023622047,0.16410347671078301,0.2936157000003732,0.2405220000000554,12.0
Choquistic 2-additive,0.6785573400958017,0.09962226825506396,0.09047619047619047,0.6263736263736264,0.15811373092926492,0.2955891970593579,0.8184764565404844,0.5691365303485841,0.38158691701998787,0.05511811023622047,0.1703147059915618,1.09957249999934,1.1528684999975667,57.0
Penalized logistic,0.6348196675119753,0.09493279092615106,0.0698856416772554,0.6043956043956044,0.1252847380410023,0.3866622173712855,1.0673880397883666,0.6332829239560621,0.4766807995154452,0.05511811023622047,0.18430335717372026,0.00929080000059912,0.007236599998577731,11.0
Logistic,0.6343688362919132,0.09462681960484112,0.07006369426751592,0.6043956043956044,0.12557077625570776,0.3888079112112547,1.0748356687583744,0.6369074422130643,0.47546941247728647,0.05511811023622047,0.18472316221404164,0.009833399999479298,0.008147699998517055,11.0
Gradient boosting,0.5978444632290786,0.07526789759977025,0.06108597285067873,0.8901098901098901,0.11432604093154553,0.06014587034787523,0.2547426965618532,0.004057695143870158,0.8031496062992126,0.05511811023622047,0.09216507436637797,1.4349187000007078,0.11123380000208272,
RBF SVM,0.5397858551704705,0.06200465527842308,0.05548780487804878,1.0,0.10514153668399769,0.05327589208134472,0.2190840175744697,0.0271127904173713,0.9933373712901272,0.05511811023622047,0.08743077969647006,0.05847149999681278,0.11745720000180881,
Prior probability,0.5,0.05511811023622047,0.05511811023622047,1.0,0.1044776119402985,0.05208038059318352,0.21332058934655643,0.01,1.0,0.05511811023622047,0.06772908366533864,0.006695599997328827,0.003762500000448199,
MLP,0.3847914905607213,0.041755362822715664,0.05329153605015674,0.9340659340659341,0.10083036773428232,0.11754793824030045,0.410846955349057,0.04621356798940289,0.9660811629315567,0.05511811023622047,0.04989648290663474,0.03402939999796217,0.027647999999317108,
