model,base model,class weight,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds,evaluation_structure
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,selection validation,0.7412973399197569,0.12659694320430032,0.06352459016393443,0.5740740740740741,0.11439114391143912,0.20033670853460195,0.6168042034667665,0.4053105758029289,0.03270745003028468,0.3726031257726442,0.3726031257726442,0.5658799213056828,0.29557843731072075,0.03270745003028468,0.0707532414782913,7.638814399891999,8.043180700100493,0.0,57.0,3514,0.032725918139599595,7,rolling_5y
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,calibration,0.6900438321853475,0.09854500946819367,0.08333333333333333,0.3148148148148148,0.13178294573643412,0.031198701981102674,0.13650470163784187,0.03513559921855025,0.03270745003028468,0.0024281491882655742,0.0024281491882655742,0.06241108982574047,0.12356147789218655,0.03270745003028468,0.0707532414782913,7.638814399891999,8.043180700100493,0.09839429997373372,57.0,3514,0.032725918139599595,7,rolling_5y
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,selection validation,0.6838632621350217,0.09598710418005607,0.04171779141104295,0.6296296296296297,0.07825086306098965,0.03152526133952668,0.13742738689519554,0.03619866858555444,0.03270745003028468,0.003491218555269765,0.003491218555269765,0.14335430196257917,0.49364021804966685,0.03270745003028468,0.06136474215036014,9.775938000006136,10.69867059995886,0.0,57.0,3514,0.032725918139599595,7,rolling_5y
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,calibration,0.6663767712609291,0.08489448694944696,0.06103286384976526,0.48148148148148145,0.10833333333333334,0.031150286075011413,0.13753311776745536,0.03657447973778904,0.03270745003028468,0.0038670297075043616,0.0038670297075043616,0.06915207295798519,0.25802543912780135,0.03270745003028468,0.06136474215036014,9.775938000006136,10.69867059995886,0.10050040000351146,57.0,3514,0.032725918139599595,7,rolling_5y
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,selection validation,0.7091827268721446,0.0716630000796328,0.06188925081433225,0.7037037037037037,0.11377245508982035,0.24562048974484046,0.7312258300677751,0.4508116276787984,0.03270745003028468,0.4181041776485137,0.4181041776485137,0.5835527873231259,0.37189582071471833,0.03270745003028468,0.0605772039870474,2.088381399982609,1.854613600007724,0.0,12.0,3514,0.032725918139599595,7,rolling_5y
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,selection validation,0.6186020083953709,0.07078812095967227,0.05140961857379768,0.5740740740740741,0.0943683409436834,0.4123499143066248,1.1344040596023548,0.6144721679499178,0.03270745003028468,0.5817647179196331,0.5817647179196331,0.6876409076008754,0.36523319200484555,0.03270745003028468,0.06428362740321132,0.199539499997627,0.039841400051955134,0.0,11.0,3514,0.032725918139599595,7,rolling_5y
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,selection validation,0.6649620816809295,0.06975468089101387,0.0444104134762634,0.5370370370370371,0.08203677510608204,0.03235520591003839,0.14300799395517766,0.045515327905248926,0.03270745003028468,0.012807877874964249,0.012807877874964249,0.10213273346786522,0.39551786795881283,0.03270745003028468,0.0612447816571824,2.230487000080757,1.976418700069189,0.0,12.0,3514,0.032725918139599595,7,rolling_5y
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,calibration,0.6172452978965189,0.06811910391846708,0.10687022900763359,0.25925925925925924,0.15135135135135136,0.03133010453054565,0.14069209502111515,0.02662563083629654,0.03270745003028468,-0.006081819193988137,0.006081819193988137,0.06982992516058721,0.07934585099939431,0.03270745003028468,0.0612447816571824,2.230487000080757,1.976418700069189,0.09355369996046647,12.0,3514,0.032725918139599595,7,rolling_5y
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,calibration,0.6400832579605278,0.06739252013343022,0.125,0.24074074074074073,0.16455696202531644,0.03136190015005932,0.14015380245686984,0.026632504767445834,0.03270745003028468,-0.006074945262838843,0.006074945262838843,0.05896159579062802,0.06299212598425197,0.03270745003028468,0.0605772039870474,2.088381399982609,1.854613600007724,0.08916579996002838,12.0,3514,0.032725918139599595,7,rolling_5y
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,selection validation,0.5653656160857163,0.0439888141548802,0.047619047619047616,0.4444444444444444,0.08602150537634409,0.13207215106332618,0.41970268375212005,0.2649249661303452,0.03270745003028468,0.23221751610006053,0.23221751610006053,0.4083464239750536,0.3052695336159903,0.03270745003028468,0.06381407315239788,4.400408899993636,0.6091091000125743,0.0,,3514,0.032725918139599595,7,rolling_5y
