model,base model,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds
Random forest,Random forest,uncalibrated,selection validation,0.6238593819404784,0.19252043756456833,0.06857573474001508,0.8921568627450981,0.12736179146256124,0.16071641181164925,0.5005145023835925,0.36912693767334526,0.061930783242258654,0.3071961544310866,0.3071961544310866,0.22510549774383268,0.8057073466909532,0.061930783242258654,0.0627412430907904,22.212353899999698,3.881929200000286,0.0,,3486,0.06170047082785425,7
Choquistic 1-additive,Choquistic 1-additive,uncalibrated,selection validation,0.6496414747128625,0.1414438170578399,0.06570397111913358,0.8921568627450981,0.12239408204438466,0.2206105505578766,0.6363003913710632,0.45999782341656115,0.061930783242258654,0.3980670401743025,0.3980670401743025,0.27878375043189946,0.840922890103218,0.061930783242258654,0.076484875655589,2.0069255999999314,1.8664315999999417,0.0,12.0,3486,0.06170047082785425,7
Choquistic 2-additive,Choquistic 2-additive,uncalibrated,selection validation,0.6114569452376419,0.1319178410631544,0.07710651828298887,0.9509803921568627,0.1426470588235294,0.22243701740991986,0.6479109436633953,0.45191035630263,0.061930783242258654,0.38997957306037134,0.38997957306037134,0.20414345736542647,0.76381299332119,0.061930783242258654,0.0585908966968399,6.989234500000293,8.097441200000048,0.0,57.0,3486,0.06170047082785425,7
Random forest [isotonic],Random forest,isotonic,calibration,0.6489085601878292,0.11511311406740098,0.09765142150803462,0.7745098039215687,0.1734357848518112,0.05767303278870237,0.25528466864766713,0.062010538400343984,0.061930783242258654,7.975515808533035e-05,7.975515808533035e-05,0.09877012836315807,0.4911961141469338,0.061930783242258654,0.0627412430907904,22.212353899999698,3.881929200000286,1.0557444999994914,,3486,0.06170047082785425,7
Logistic [sigmoid],Logistic,sigmoid,calibration,0.5612538866679357,0.101598404543319,0.06539235412474849,0.6372549019607843,0.11861313868613138,0.06412286273451474,0.25323036200796206,0.10855198162234983,0.061930783242258654,0.046621198380091176,0.046621198380091176,0.07817687994764576,0.6035215543412265,0.061930783242258654,0.09098603490887548,0.06872500000031323,0.05013369999983297,0.0726523000000725,11.0,3486,0.06170047082785425,7
Logistic oriented [sigmoid],Logistic oriented,sigmoid,calibration,0.5612538866679357,0.101598404543319,0.06539235412474849,0.6372549019607843,0.11861313868613138,0.06412286273451474,0.25323036200796206,0.10855198162234983,0.061930783242258654,0.046621198380091176,0.046621198380091176,0.07817687994764576,0.6035215543412265,0.061930783242258654,0.09098603490887548,0.08391609999989669,0.05608140000003914,0.08482199999957629,11.0,3486,0.06170047082785425,7
Penalized logistic [sigmoid],Penalized logistic,sigmoid,calibration,0.5654927343105527,0.09767150689703274,0.06335282651072124,0.6372549019607843,0.11524822695035461,0.0649312819144493,0.2544693002536177,0.10929441593359772,0.061930783242258654,0.047363632691339065,0.047363632691339065,0.06869873529604181,0.6229508196721312,0.061930783242258654,0.10778376770048467,0.21831010000005335,0.04833540000004177,0.0731745000000501,11.0,3486,0.06170047082785425,7
RBF SVM [isotonic],RBF SVM,isotonic,calibration,0.5933434862618188,0.08635885045019354,0.08311688311688312,0.6274509803921569,0.14678899082568808,0.05810914253858846,0.41487352851375064,0.05753865583156457,0.061930783242258654,-0.0043921274106940855,0.0043921274106940855,0.09119864193100252,0.46751669702489373,0.061930783242258654,0.07688972989032052,0.7468381999997291,0.3587751999998545,0.14789959999961866,,3486,0.06170047082785425,7
MLP,MLP,uncalibrated,selection validation,0.5105019354019925,0.08078707426551446,0.09609120521172639,0.5784313725490197,0.164804469273743,0.09972611152290274,0.35951296230494256,0.23369859326687462,0.061930783242258654,0.17176781002461597,0.17176781002461597,0.3219772057174532,0.37279902853673347,0.061930783242258654,0.08506171162040287,0.6200437000002239,0.17622849999997925,0.0,,3486,0.06170047082785425,7
Choquistic 1-additive [isotonic],Choquistic 1-additive,isotonic,calibration,0.5802684180468304,0.08017615203002254,0.13793103448275862,0.43137254901960786,0.20902612826603326,0.05879606557860084,0.4061815946082523,0.04589810518924006,0.061930783242258654,-0.01603267805301859,0.01603267805301859,0.10887277063872154,0.19368548876745598,0.061930783242258654,0.076484875655589,2.0069255999999314,1.8664315999999417,0.08230600000001687,12.0,3486,0.06170047082785425,7
