model,base model,class weight,probability calibration,evaluation_structure,ROC AUC,PR AUC,validation PR AUC
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.5791865344637048,0.10769661758902938,0.04395227583535529
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.5359706948383657,0.10514253302615659,0.0428642386912055
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.6182600833095049,0.08459999730671883,0.1466897518029874
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.5459477422196805,0.08130754301786683,0.04684517007186253
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.5765048648732196,0.07720142114828213,0.07284817429346302
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.5808326313593051,0.07590721798645586,0.07773532377658023
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.49487236952943264,0.0746386896832755,0.045190979366931214
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.5623816626351461,0.07196772956816883,0.11877181853673627
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.4166170776756803,0.06819511027106347,0.12178352750179301
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.5818295632819925,0.06572165162652835,0.04395227583535529
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.5522230036245044,0.06355745161941646,0.048829024246510436
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.5522230036245044,0.06355745161941646,0.048829024246510436
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.5191078618515113,0.060593051316805716,0.045190979366931214
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.5354451803364838,0.05830628637121945,0.07745347813245278
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.5354451803364838,0.05830628637121945,0.07745347813245278
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.5224309682604698,0.05196534066368181,0.04684517007186253
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,rolling_5y,0.4442645501827709,0.05186173579331503,0.04147573825266765
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.534027063996847,0.050902985149976515,0.11877181853673627
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.5071524069337001,0.04995901999896467,0.1466897518029874
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.4803898081099253,0.04986390847087756,0.0428642386912055
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.5095094940377288,0.04853720273860847,0.12178352750179301
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.48647959380820266,0.04735429541165699,0.07284817429346302
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.42628886295663726,0.04586476085829989,0.04147573825266765
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.4594155969612897,0.0451899324663417,0.07773532377658023
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,rolling_5y,0.41867276675657084,0.044628857129733385,0.15589907445488738
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.4082513504949883,0.04053178491095602,0.07745347813245278
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.4082513504949883,0.04053178491095602,0.07745347813245278
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.40639272935230336,0.040501161581765074,0.15589907445488738
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.40238181719823485,0.039746590856265654,0.048829024246510436
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.40238181719823485,0.039746590856265654,0.048829024246510436
