first,second,mean,std,min,max,count,sign persistence,mean absolute interaction
term_spread_10y_2y_pct,negative_momentum_21d,0.35926617202687183,0.3405407198576496,-1.7158936789904962e-15,0.6775008994713547,5,0.6,0.35926617202687294
realized_volatility_20d,lagged_portfolio_loss_1d,0.18327750072451074,0.19355187347246058,-0.15219243885424102,0.31564806348067637,5,0.8,0.24415447626620718
realized_volatility_20d,average_equity_correlation_60d,0.09156817827906574,0.20475267120781748,-1.0537779986396695e-14,0.45784089139534084,5,0.6,0.091568178279071
negative_momentum_21d,lagged_portfolio_loss_1d,-0.08069743362765863,0.172985858108715,-0.3899666697504149,1.5390049045634626e-15,5,0.6,0.08069743362765933
realized_volatility_20d,term_spread_10y_2y_pct,0.03778937504576951,0.03622933482469534,-2.3135514347450737e-15,0.07831100841193676,5,0.8,0.037789375045770436
realized_volatility_20d,negative_momentum_21d,0.03448438307790268,0.0771094247243095,-5.900285255359094e-15,0.17242191538946988,5,0.6,0.03448438307790631
market_loss_1d,negative_momentum_21d,-0.02385647190294802,0.0383562031365224,-0.08825865704867171,3.799649301421114e-15,5,0.8,0.023856471902949535
market_loss_1d,realized_volatility_20d,0.01023422894374248,0.022807460988705078,-3.631420798000115e-15,0.0510333157903384,5,0.6,0.010234228943744459
market_loss_1d,lagged_portfolio_loss_1d,-0.0087170510700291,0.013640900179416039,-0.031805357290472513,2.383676140187138e-15,5,0.8,0.008717051070030055
drawdown_severity,term_spread_10y_2y_pct,-5.5908323295494024e-15,4.557147909883163e-15,-1.046280609567869e-14,7.598583551328768e-18,5,0.8,5.593871762969934e-15
vix,liquidity_stress_20d,-6.418493562207245e-16,5.1660431047974024e-15,-9.433002641625533e-15,3.1941382654577624e-15,5,0.6,3.5063355073535946e-15
realized_volatility_20d,liquidity_stress_20d,-3.4985091848747063e-15,2.9334404675048883e-15,-7.465899510131418e-15,-2.3711236502379844e-16,5,1.0,3.4985091848747063e-15
