,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-9.7525707673434e-16,-0.0059965593442749664,-6.300299484234844e-16,-9.054516951119163e-16,1.4052271072850294e-15,3.1269378992058707e-16,-0.002429083163110147,1.5240695882651377e-15,0.025439616720227164
vix,-9.7525707673434e-16,0.0,0.15508092524767395,1.1502107235421636e-15,8.46705369256445e-17,4.921778619833326e-17,9.246259544576706e-17,0.1660262433011326,7.477497341245298e-16,2.100544647224782e-16
realized_volatility_20d,-0.0059965593442749664,0.15508092524767395,0.0,9.040624318216274e-16,0.07736663845596897,-2.1314392183462228e-16,4.6991093758345494e-15,0.05702149066485684,-3.237929658442769e-16,-3.313372254252686e-16
drawdown_severity,-6.300299484234844e-16,1.1502107235421636e-15,9.040624318216274e-16,0.0,-4.1443848763496696e-16,5.012584572158399e-16,-6.101204966481667e-16,1.1530298630215764e-15,-4.641924029817124e-16,1.842172675766601e-15
liquidity_stress_20d,-9.054516951119163e-16,8.46705369256445e-17,0.07736663845596897,-4.1443848763496696e-16,0.0,1.2504906034494304e-14,-4.972766908870201e-16,-2.5085161494105866e-16,-1.494920337780294e-17,-3.549560438954698e-16
baa_credit_spread_pct,1.4052271072850294e-15,4.921778619833326e-17,-2.1314392183462228e-16,5.012584572158399e-16,1.2504906034494304e-14,0.0,-1.1910801672878418e-15,-0.32376288119355606,2.9843432891664494e-15,-2.375885067740862e-15
term_spread_10y_2y_pct,3.1269378992058707e-16,9.246259544576706e-17,4.6991093758345494e-15,-6.101204966481667e-16,-4.972766908870201e-16,-1.1910801672878418e-15,0.0,5.945210269748097e-16,4.893887397724224e-16,7.860575079980769e-16
average_equity_correlation_60d,-0.002429083163110147,0.1660262433011326,0.05702149066485684,1.1530298630215764e-15,-2.5085161494105866e-16,-0.32376288119355606,5.945210269748097e-16,0.0,0.06358428996495567,0.01727765330265433
negative_momentum_21d,1.5240695882651377e-15,7.477497341245298e-16,-3.237929658442769e-16,-4.641924029817124e-16,-1.494920337780294e-17,2.9843432891664494e-15,4.893887397724224e-16,0.06358428996495567,0.0,1.0236735772227944e-15
lagged_portfolio_loss_1d,0.025439616720227164,2.100544647224782e-16,-3.313372254252686e-16,1.842172675766601e-15,-3.549560438954698e-16,-2.375885067740862e-15,7.860575079980769e-16,0.01727765330265433,1.0236735772227944e-15,0.0
