,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-1.9366930008911422e-17,-1.612877952042138e-17,-2.9776561811807963e-18,2.1350026245780144e-18,3.0030852442754156e-18,6.449582453334022e-19,1.7543805837286873e-18,1.9288658056990965e-18,6.0977092066973365e-18
vix,-1.9366930008911422e-17,0.0,-1.9631268824298363e-17,-1.9300578031324457e-17,-1.4187919225565654e-17,3.3335087635090928e-18,9.753817645670797e-19,2.344323952537704e-19,-2.2852898136826714e-17,-2.0622539381999398e-17
realized_volatility_20d,-1.612877952042138e-17,-1.9631268824298363e-17,0.0,-2.1415288554419995e-17,-1.5377443894806892e-17,3.069169948122151e-18,-6.767358316013079e-19,4.596022849138309e-18,-2.0275594686804032e-17,-2.293550401663513e-17
drawdown_severity,-2.9776561811807963e-18,-1.9300578031324457e-17,-2.1415288554419995e-17,0.0,5.160113958699264e-18,-6.2725398067859764e-18,7.985235048147207e-19,-2.5883175673304755e-19,-1.70414522016935e-18,-5.107507468276229e-18
liquidity_stress_20d,2.1350026245780144e-18,-1.4187919225565654e-17,-1.5377443894806892e-17,5.160113958699264e-18,0.0,5.407931598124522e-18,1.0463411442399788e-18,2.632374036561631e-18,8.689204101325212e-19,8.523992341708378e-19
baa_credit_spread_pct,3.0030852442754156e-18,3.3335087635090928e-18,3.069169948122151e-18,-6.2725398067859764e-18,5.407931598124522e-18,0.0,1.0463411442399788e-18,1.839357590400805e-18,-1.8665908292381344e-18,-3.7004413609850436e-18
term_spread_10y_2y_pct,6.449582453334022e-19,9.753817645670797e-19,-6.767358316013079e-19,7.985235048147207e-19,1.0463411442399788e-18,1.0463411442399788e-18,0.0,1.0463411442399788e-18,7.53808735228514e-20,-3.080163735158767e-18
average_equity_correlation_60d,1.7543805837286873e-18,2.344323952537704e-19,4.596022849138309e-18,-2.5883175673304755e-19,2.632374036561631e-18,1.839357590400805e-18,1.0463411442399788e-18,0.0,6.753754370242058e-20,-2.133224476462051e-19
negative_momentum_21d,1.9288658056990965e-18,-2.2852898136826714e-17,-2.0275594686804032e-17,-1.70414522016935e-18,8.689204101325212e-19,-1.8665908292381344e-18,7.53808735228514e-20,6.753754370242058e-20,0.0,-1.3309165489627327e-17
lagged_portfolio_loss_1d,6.0977092066973365e-18,-2.0622539381999398e-17,-2.293550401663513e-17,-5.107507468276229e-18,8.523992341708378e-19,-3.7004413609850436e-18,-3.080163735158767e-18,-2.133224476462051e-19,-1.3309165489627327e-17,0.0
