,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-2.856879747081661e-15,1.3771678562130502e-15,8.964398672760803e-16,1.8491603800141027e-15,-1.140748176124221e-15,-1.4627555716395082e-16,3.626252087400937e-16,2.4481573923534494e-15,-1.1494558812306292e-15
vix,-2.856879747081661e-15,0.0,7.241729403349882e-15,-2.753067947814769e-16,1.1881946907953748e-15,-1.5505210090615208e-15,0.4458486157756601,-1.0579998348897743e-15,1.9660095390931427e-15,0.49496170733851474
realized_volatility_20d,1.3771678562130502e-15,7.241729403349882e-15,0.0,-1.5590856059513142e-16,-4.473600889216634e-16,-5.000845836034497e-16,1.926485628022744e-16,-1.360475240494772e-15,0.059189676885842486,2.3279272168021554e-16
drawdown_severity,8.964398672760803e-16,-2.753067947814769e-16,-1.5590856059513142e-16,0.0,-1.5213244221887007e-15,-1.2090307403481258e-17,7.571014909775214e-16,1.8130847736913126e-16,-1.0569447938704043e-15,6.184256943597146e-17
liquidity_stress_20d,1.8491603800141027e-15,1.1881946907953748e-15,-4.473600889216634e-16,-1.5213244221887007e-15,0.0,1.5273443951724654e-15,3.340139649626048e-16,3.3735324741981984e-16,-6.586927921394732e-16,-4.516151618816261e-16
baa_credit_spread_pct,-1.140748176124221e-15,-1.5505210090615208e-15,-5.000845836034497e-16,-1.2090307403481258e-17,1.5273443951724654e-15,0.0,1.5808737055936355e-15,1.1073569718135828e-15,-1.1643167436853924e-15,-7.444384471589206e-16
term_spread_10y_2y_pct,-1.4627555716395082e-16,0.4458486157756601,1.926485628022744e-16,7.571014909775214e-16,3.340139649626048e-16,1.5808737055936355e-15,0.0,1.0493112369503664e-16,-1.435278005972421e-16,1.406980744605037e-15
average_equity_correlation_60d,3.626252087400937e-16,-1.0579998348897743e-15,-1.360475240494772e-15,1.8130847736913126e-16,3.3735324741981984e-16,1.1073569718135828e-15,1.0493112369503664e-16,0.0,1.4307032012533246e-15,8.244682139613421e-16
negative_momentum_21d,2.4481573923534494e-15,1.9660095390931427e-15,0.059189676885842486,-1.0569447938704043e-15,-6.586927921394732e-16,-1.1643167436853924e-15,-1.435278005972421e-16,1.4307032012533246e-15,0.0,1.1035218296518661e-14
lagged_portfolio_loss_1d,-1.1494558812306292e-15,0.49496170733851474,2.3279272168021554e-16,6.184256943597146e-17,-4.516151618816261e-16,-7.444384471589206e-16,1.406980744605037e-15,8.244682139613421e-16,1.1035218296518661e-14,0.0
