,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,1.5160902078621538e-16,-1.73363676622928e-16,2.0332326638693553e-16,-2.4809919120856545e-17,-1.121948547714099e-17,1.8044157775633822e-16,1.870442332465209e-19,1.6626315562233095e-17,-2.9710664282222954e-16
vix,1.5160902078621538e-16,0.0,0.05950295169448892,2.1752796885870122e-17,7.286283557899006e-18,-1.8633698842495805e-17,0.26992307461071186,2.829319287407022e-17,0.23678624138023935,-3.913131694841001e-16
realized_volatility_20d,-1.73363676622928e-16,0.05950295169448892,0.0,2.3875474699320816e-16,-2.4764374806835244e-17,2.050155216711746e-17,0.09415519382885829,3.237757051295769e-17,0.22943482091860665,-3.0920264099038833e-16
drawdown_severity,2.0332326638693553e-16,2.1752796885870122e-17,2.3875474699320816e-16,0.0,6.8286674724555874e-18,-1.4477385367734234e-17,6.676759914910506e-17,-2.3102993334564908e-17,1.495113667567967e-16,2.483693796144719e-16
liquidity_stress_20d,-2.4809919120856545e-17,7.286283557899006e-18,-2.4764374806835244e-17,6.8286674724555874e-18,0.0,6.014264828945062e-17,1.2728315851270798e-17,-2.259462752936805e-17,-6.220932980964047e-18,-4.7203075523590694e-17
baa_credit_spread_pct,-1.121948547714099e-17,-1.8633698842495805e-17,2.050155216711746e-17,-1.4477385367734234e-17,6.014264828945062e-17,0.0,4.0600037360912814e-18,-1.0333527525803461e-17,7.486615691562087e-17,5.162731120735257e-17
term_spread_10y_2y_pct,1.8044157775633822e-16,0.26992307461071186,0.09415519382885829,6.676759914910506e-17,1.2728315851270798e-17,4.0600037360912814e-18,0.0,-1.6539162574041584e-17,-3.216553476680133e-17,-2.517246512367516e-16
average_equity_correlation_60d,1.870442332465209e-19,2.829319287407022e-17,3.237757051295769e-17,-2.3102993334564908e-17,-2.259462752936805e-17,-1.0333527525803461e-17,-1.6539162574041584e-17,0.0,-8.01700667752386e-17,-4.1626099235295246e-17
negative_momentum_21d,1.6626315562233095e-17,0.23678624138023935,0.22943482091860665,1.495113667567967e-16,-6.220932980964047e-18,7.486615691562087e-17,-3.216553476680133e-17,-8.01700667752386e-17,0.0,0.06351126356972998
lagged_portfolio_loss_1d,-2.9710664282222954e-16,-3.913131694841001e-16,-3.0920264099038833e-16,2.483693796144719e-16,-4.7203075523590694e-17,5.162731120735257e-17,-2.517246512367516e-16,-4.1626099235295246e-17,0.06351126356972998,0.0
