model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
Logistic oriented [balanced],market_loss_1d,-0.035486265091975326,0.035486265091975326,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.033154248903035435,-0.1006229209253857
Logistic oriented [balanced],vix,0.07088080007904984,0.07088080007904984,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.03369227571095847,-0.2756919937749325
Logistic oriented [balanced],realized_volatility_20d,0.2486673321747847,0.2486673321747847,0.2,True,0.0,False,False,True,1.0,unchanged (positive training correlation),366,training only (frozen before validation refit),0.0,-0.022537459573581612,-0.06781733700389743
Logistic oriented [balanced],drawdown_severity,0.1823429594557152,0.1823429594557152,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.06281764415008814,-0.10637612039913694
Logistic oriented [balanced],liquidity_stress_20d,0.0014911854393354102,0.0014911854393354102,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.1166118035416902,-0.030973701019145986
Logistic oriented [balanced],baa_credit_spread_pct,-0.06142470068416281,0.06142470068416281,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.11192696936141086,-0.2296627447975678
Logistic oriented [balanced],term_spread_10y_2y_pct,-0.2828691980627182,0.2828691980627182,0.2,True,0.3333333333333333,False,False,True,-1.0,multiplied by -1,366,training only (frozen before validation refit),0.0,-0.0027505462324849527,0.198025158344073
Logistic oriented [balanced],average_equity_correlation_60d,0.2133439695577919,0.2133439695577919,0.2,True,0.6666666666666666,False,False,True,1.0,unchanged (positive training correlation),366,training only (frozen before validation refit),0.0,0.042746237668085024,0.04510834125683563
Logistic oriented [balanced],negative_momentum_21d,0.14310717611977786,0.14310717611977786,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.10376584513161578,-0.05718067615536466
Logistic oriented [balanced],lagged_portfolio_loss_1d,0.004014203648118613,0.004014203648118613,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,0.06035033563712669,-0.05912930276253909
Choquistic 1-additive [balanced],market_loss_1d,-0.035486265091975326,0.035486265091975326,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.033154248903035435,-0.1006229209253857
Choquistic 1-additive [balanced],vix,0.07088080007904984,0.07088080007904984,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),366,training only (frozen before validation refit),0.0,-0.03369227571095847,-0.2756919937749325
Choquistic 1-additive [balanced],realized_volatility_20d,0.2486673321747847,0.2486673321747847,0.2,True,0.0,False,False,True,1.0,unchanged (positive training correlation),366,training only (frozen before validation refit),0.0,-0.022537459573581612,-0.06781733700389743
