fold,model,OOS start,OOS end,best parameters
0,Choquistic 1-additive [balanced],2020-01-01,2021-01-01,{}
0,Choquistic 1-additive [unweighted],2020-01-01,2021-01-01,{}
0,Choquistic 2-additive [balanced],2020-01-01,2021-01-01,{}
0,Choquistic 2-additive [unweighted],2020-01-01,2021-01-01,{}
0,Choquistic model aggregator [balanced],2020-01-01,2021-01-01,"{'capacity': '2-additive', 'class weight': 'balanced', 'base models': ['Rolling prior probability', 'Logistic [balanced]', 'Logistic oriented [balanced]', 'Penalized logistic [balanced]', 'Explicit interactions [balanced]', 'RBF SVM [balanced]', 'Random forest [balanced]', 'Gradient boosting [balanced]', 'MLP [balanced]']}"
0,Choquistic model aggregator [unweighted],2020-01-01,2021-01-01,"{'capacity': '2-additive', 'class weight': 'unweighted', 'base models': ['Rolling prior probability', 'Logistic [unweighted]', 'Logistic oriented [unweighted]', 'Penalized logistic [unweighted]', 'Explicit interactions [unweighted]', 'RBF SVM [unweighted]', 'Random forest [unweighted]', 'Gradient boosting [unweighted]', 'MLP [unweighted]']}"
0,Explicit interactions [balanced],2020-01-01,2021-01-01,{'classifier__logistic__C': 0.1}
0,Explicit interactions [unweighted],2020-01-01,2021-01-01,{'classifier__logistic__C': 0.1}
0,Fuzzy Choquet neural network [balanced],2020-01-01,2021-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
0,Fuzzy Choquet neural network [unweighted],2020-01-01,2021-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
0,Gradient boosting [balanced],2020-01-01,2021-01-01,"{'classifier__l2_regularization': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_leaf_nodes': 15}"
0,Gradient boosting [unweighted],2020-01-01,2021-01-01,"{'classifier__l2_regularization': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_leaf_nodes': 15}"
0,Logistic [balanced],2020-01-01,2021-01-01,{}
0,Logistic [unweighted],2020-01-01,2021-01-01,{}
0,Logistic oriented [balanced],2020-01-01,2021-01-01,{}
0,Logistic oriented [unweighted],2020-01-01,2021-01-01,{}
0,MLP [balanced],2020-01-01,2021-01-01,"{'classifier__alpha': 0.01, 'classifier__hidden_layer_sizes': (8,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'lbfgs'}"
0,MLP [unweighted],2020-01-01,2021-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (16,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'lbfgs'}"
0,Penalized logistic [balanced],2020-01-01,2021-01-01,{'classifier__C': 1.0}
0,Penalized logistic [unweighted],2020-01-01,2021-01-01,{'classifier__C': 10.0}
0,RBF SVM [balanced],2020-01-01,2021-01-01,"{'classifier__C': 0.1, 'classifier__gamma': 'scale'}"
0,RBF SVM [unweighted],2020-01-01,2021-01-01,"{'classifier__C': 10.0, 'classifier__gamma': 'scale'}"
0,Random forest [balanced],2020-01-01,2021-01-01,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 5}"
0,Random forest [unweighted],2020-01-01,2021-01-01,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5}"
0,Rolling prior probability,2020-01-01,2021-01-01,{}
1,Choquistic 1-additive [balanced],2021-01-01,2022-01-01,{}
1,Choquistic 1-additive [unweighted],2021-01-01,2022-01-01,{}
1,Choquistic 2-additive [balanced],2021-01-01,2022-01-01,{}
1,Choquistic 2-additive [unweighted],2021-01-01,2022-01-01,{}
1,Choquistic model aggregator [balanced],2021-01-01,2022-01-01,"{'capacity': '2-additive', 'class weight': 'balanced', 'base models': ['Rolling prior probability', 'Logistic [balanced]', 'Logistic oriented [balanced]', 'Penalized logistic [balanced]', 'Explicit interactions [balanced]', 'RBF SVM [balanced]', 'Random forest [balanced]', 'Gradient boosting [balanced]', 'MLP [balanced]']}"
1,Choquistic model aggregator [unweighted],2021-01-01,2022-01-01,"{'capacity': '2-additive', 'class weight': 'unweighted', 'base models': ['Rolling prior probability', 'Logistic [unweighted]', 'Logistic oriented [unweighted]', 'Penalized logistic [unweighted]', 'Explicit interactions [unweighted]', 'RBF SVM [unweighted]', 'Random forest [unweighted]', 'Gradient boosting [unweighted]', 'MLP [unweighted]']}"
1,Explicit interactions [balanced],2021-01-01,2022-01-01,{'classifier__logistic__C': 0.1}
1,Explicit interactions [unweighted],2021-01-01,2022-01-01,{'classifier__logistic__C': 0.01}
