first,second,interaction,interpretation
Random forest [balanced],MLP [balanced],0.1297929279793338,complementary
Gradient boosting [balanced],MLP [balanced],0.07188244305552802,complementary
Random forest [balanced],Gradient boosting [balanced],0.05926253601028859,complementary
Rolling prior probability,MLP [balanced],0.05184860741349717,complementary
Rolling prior probability,Random forest [balanced],0.03922877595226945,complementary
Rolling prior probability,Gradient boosting [balanced],-0.01868179758086042,redundant
Logistic oriented [balanced],Gradient boosting [balanced],1.231666675115857e-16,complementary
Logistic oriented [balanced],MLP [balanced],1.0268040931909775e-16,complementary
Logistic oriented [balanced],RBF SVM [balanced],-8.005791338550186e-17,redundant
Penalized logistic [balanced],RBF SVM [balanced],-7.871987107867275e-17,redundant
Logistic [balanced],Logistic oriented [balanced],7.567804831550061e-17,complementary
RBF SVM [balanced],Random forest [balanced],6.885617142769224e-17,complementary
