first,second,interaction,interpretation
Rolling prior probability,Gradient boosting [unweighted],0.08195014636359407,complementary
Rolling prior probability,Penalized logistic [unweighted],2.7238619607502963e-16,complementary
Logistic [unweighted],Logistic oriented [unweighted],-1.666804748017231e-16,redundant
Logistic [unweighted],RBF SVM [unweighted],-1.0634266563728714e-16,redundant
Logistic oriented [unweighted],Penalized logistic [unweighted],1.0475053472777022e-16,complementary
Penalized logistic [unweighted],RBF SVM [unweighted],9.630796885892605e-17,complementary
Logistic oriented [unweighted],MLP [unweighted],8.282325979090788e-17,complementary
Rolling prior probability,MLP [unweighted],7.207886457598604e-17,complementary
Logistic oriented [unweighted],Gradient boosting [unweighted],6.698919577110826e-17,complementary
Logistic [unweighted],Penalized logistic [unweighted],-6.044655625758562e-17,redundant
Logistic oriented [unweighted],Explicit interactions [unweighted],5.728339988074901e-17,complementary
Rolling prior probability,Logistic [unweighted],-5.6775581392634e-17,redundant
