first,second,interaction,interpretation
vix,lagged_portfolio_loss_1d,0.46956321477590807,complementary
vix,term_spread_10y_2y_pct,0.4082278523237959,complementary
negative_momentum_21d,lagged_portfolio_loss_1d,0.12220893290029955,complementary
market_loss_1d,negative_momentum_21d,3.6755086360617925e-15,complementary
realized_volatility_20d,negative_momentum_21d,-3.2535904173091028e-15,redundant
realized_volatility_20d,term_spread_10y_2y_pct,-3.11495338544728e-15,redundant
vix,realized_volatility_20d,-2.672328608832383e-15,redundant
vix,negative_momentum_21d,-2.191682618641666e-15,redundant
market_loss_1d,realized_volatility_20d,1.6601742102069696e-15,complementary
drawdown_severity,lagged_portfolio_loss_1d,1.5445229595986703e-15,complementary
market_loss_1d,lagged_portfolio_loss_1d,1.482994593970151e-15,complementary
drawdown_severity,term_spread_10y_2y_pct,-1.3914588007705376e-15,redundant
