first,second,interaction,interpretation
vix,lagged_portfolio_loss_1d,0.3941969834534372,complementary
vix,term_spread_10y_2y_pct,0.36682040814429795,complementary
realized_volatility_20d,negative_momentum_21d,0.16954418937894947,complementary
market_loss_1d,realized_volatility_20d,0.041137691996823066,complementary
negative_momentum_21d,lagged_portfolio_loss_1d,0.02830072702649431,complementary
drawdown_severity,average_equity_correlation_60d,2.0481831993140253e-16,complementary
average_equity_correlation_60d,negative_momentum_21d,2.0078113017203737e-16,complementary
market_loss_1d,vix,-2.0040495242886265e-16,redundant
liquidity_stress_20d,negative_momentum_21d,-1.9019102559289997e-16,redundant
drawdown_severity,lagged_portfolio_loss_1d,-1.8892532680837138e-16,redundant
realized_volatility_20d,liquidity_stress_20d,1.8331134403527401e-16,complementary
vix,realized_volatility_20d,-1.81399082257697e-16,redundant
